,Cultivated area (hectares),Seed (Kg),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Insecticide (lit),Water (m3),Irrigation frequency,Yield (kg),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
3474,0.75,5.0,305.0,154.0,81.0,544.0,5.0,7148.0,5.0,44431.0,2612.0,15087.0,11145.0
3475,0.5,5.0,209.0,114.0,53.0,332.0,3.0,4597.0,5.0,27118.0,1303.0,10737.0,7410.0
3476,1.5,14.0,568.0,276.0,119.0,1145.0,9.0,13802.0,7.0,91300.0,3974.0,30842.0,21455.0
3477,2.5,18.0,1043.0,527.0,238.0,1859.0,17.0,23226.0,5.0,134298.0,8797.0,50644.0,35809.0
3478,1.0,4.0,403.0,179.0,90.0,655.0,6.0,9908.0,6.0,58185.0,2952.0,20201.0,14469.0
3479,2.5,9.0,843.0,448.0,261.0,1750.0,16.0,27093.0,7.0,132120.0,7616.0,51117.0,36578.0
3480,3.0,6.0,1082.0,681.0,270.0,2047.0,20.0,30666.0,4.0,184541.0,9999.0,62751.0,44750.0
3481,1.5,13.0,514.0,288.0,186.0,1039.0,9.0,14810.0,7.0,86115.0,4308.0,30098.0,21868.0
3482,2.0,14.0,805.0,426.0,215.0,1432.0,12.0,18461.0,5.0,106993.0,5624.0,42273.0,29645.0
3483,3.0,29.0,1297.0,566.0,359.0,2129.0,20.0,28036.0,4.0,176138.0,7765.0,61084.0,42630.0
3484,0.5,3.0,184.0,93.0,50.0,364.0,3.0,4992.0,7.0,30799.0,1514.0,10397.0,7250.0
3485,1.0,9.0,430.0,216.0,115.0,739.0,6.0,9071.0,5.0,52545.0,3557.0,21343.0,14493.0
3486,3.0,16.0,1164.0,629.0,233.0,2244.0,19.0,32664.0,4.0,166248.0,7558.0,63687.0,45344.0
3487,1.25,7.0,442.0,234.0,137.0,941.0,8.0,11791.0,7.0,65908.0,3753.0,26859.0,18386.0
3488,3.0,28.0,1258.0,529.0,332.0,2234.0,20.0,27138.0,6.0,156409.0,10606.0,63488.0,42689.0
3489,0.75,5.0,272.0,150.0,91.0,559.0,5.0,7927.0,6.0,43054.0,2447.0,15539.0,10831.0
3490,1.5,6.0,591.0,257.0,163.0,1128.0,10.0,13857.0,4.0,90003.0,4614.0,31313.0,22547.0
3491,3.0,28.0,995.0,598.0,338.0,2174.0,19.0,27355.0,7.0,171662.0,9994.0,64430.0,44729.0
3492,0.75,4.0,277.0,166.0,80.0,573.0,5.0,6821.0,7.0,39459.0,1889.0,14786.0,10845.0
3493,1.75,15.0,673.0,353.0,217.0,1263.0,11.0,16363.0,7.0,92992.0,5585.0,34582.0,26228.0
3494,1.25,4.0,503.0,283.0,101.0,948.0,8.0,12261.0,5.0,65548.0,4463.0,25147.0,18161.0
3495,1.25,9.0,441.0,254.0,116.0,892.0,8.0,12714.0,5.0,75694.0,3342.0,24376.0,17759.0
3496,1.25,7.0,498.0,249.0,98.0,953.0,7.0,12635.0,7.0,74039.0,3574.0,26464.0,18398.0
3497,3.0,12.0,1083.0,546.0,310.0,2250.0,18.0,32293.0,6.0,161566.0,8269.0,64063.0,42633.0
3498,0.75,6.0,329.0,150.0,73.0,501.0,5.0,7708.0,5.0,46157.0,2109.0,15128.0,11261.0
3499,1.25,10.0,538.0,262.0,139.0,889.0,8.0,12215.0,6.0,73599.0,3959.0,24957.0,18001.0
3500,1.75,14.0,671.0,373.0,145.0,1227.0,11.0,17006.0,7.0,101039.0,4375.0,34408.0,25747.0
3501,1.5,10.0,510.0,311.0,130.0,1038.0,10.0,13803.0,6.0,85947.0,3401.0,29184.0,21327.0
3502,0.75,2.0,330.0,171.0,70.0,534.0,5.0,7324.0,4.0,40023.0,2265.0,15411.0,11040.0
3503,2.0,16.0,733.0,420.0,220.0,1366.0,12.0,20866.0,5.0,121727.0,7082.0,42681.0,28489.0
3504,1.0,8.0,384.0,209.0,93.0,708.0,6.0,10940.0,5.0,58884.0,3244.0,20054.0,14570.0
3505,3.0,13.0,1125.0,534.0,321.0,2104.0,18.0,30167.0,7.0,156116.0,8442.0,60373.0,45500.0
3506,2.5,7.0,1049.0,443.0,280.0,1776.0,17.0,22892.0,4.0,150165.0,8194.0,53678.0,35781.0
3507,2.0,19.0,704.0,428.0,229.0,1405.0,13.0,21384.0,4.0,104094.0,5511.0,40099.0,30141.0
3508,2.5,20.0,1104.0,496.0,207.0,1809.0,16.0,22757.0,6.0,133571.0,7227.0,49749.0,35986.0
3509,0.5,1.0,197.0,106.0,53.0,363.0,3.0,4965.0,7.0,30896.0,1529.0,9949.0,7502.0
3510,2.0,12.0,719.0,455.0,243.0,1334.0,12.0,19195.0,6.0,123022.0,4419.0,41277.0,28485.0
3511,1.0,6.0,435.0,184.0,95.0,691.0,7.0,10478.0,5.0,54639.0,3426.0,20153.0,14533.0
3512,1.0,4.0,349.0,220.0,118.0,725.0,6.0,9447.0,7.0,55873.0,2954.0,21228.0,14755.0
3513,0.75,4.0,262.0,167.0,67.0,497.0,5.0,7696.0,5.0,42507.0,2230.0,15690.0,11046.0
3514,2.0,15.0,696.0,418.0,245.0,1523.0,12.0,20017.0,4.0,116256.0,5746.0,39785.0,28911.0
3515,1.5,9.0,649.0,300.0,129.0,1122.0,10.0,14568.0,6.0,86191.0,5388.0,31308.0,21769.0
3516,0.75,6.0,326.0,146.0,89.0,488.0,5.0,8096.0,6.0,41501.0,1931.0,15622.0,11037.0
3517,1.75,11.0,658.0,327.0,149.0,1251.0,11.0,18122.0,7.0,97683.0,4152.0,33989.0,25403.0
3518,1.5,3.0,506.0,256.0,169.0,1107.0,9.0,14444.0,4.0,86419.0,4274.0,29807.0,21628.0
3519,3.0,13.0,1085.0,654.0,279.0,2238.0,18.0,28440.0,5.0,163642.0,9454.0,59412.0,42706.0
3520,1.5,5.0,625.0,278.0,135.0,1135.0,10.0,15929.0,7.0,82009.0,4765.0,30489.0,21785.0
3521,2.5,16.0,1001.0,482.0,201.0,1860.0,16.0,25282.0,5.0,133136.0,5932.0,53473.0,37286.0
3522,2.0,5.0,703.0,379.0,250.0,1305.0,13.0,19408.0,6.0,115272.0,5854.0,41865.0,29767.0
3523,2.5,15.0,1010.0,564.0,235.0,1870.0,15.0,22822.0,6.0,153112.0,7437.0,49297.0,36714.0
3524,3.0,15.0,1043.0,668.0,265.0,2143.0,19.0,27532.0,5.0,184203.0,10644.0,64249.0,44611.0
3525,1.25,7.0,559.0,270.0,119.0,930.0,8.0,11922.0,5.0,70881.0,4119.0,25824.0,18270.0
3526,1.5,4.0,639.0,341.0,185.0,1118.0,10.0,16266.0,5.0,83784.0,3894.0,29293.0,21663.0
3527,2.0,13.0,835.0,451.0,188.0,1444.0,12.0,19197.0,5.0,110107.0,4325.0,41149.0,28713.0
3528,3.0,27.0,993.0,519.0,347.0,2078.0,18.0,31388.0,5.0,184396.0,7982.0,58363.0,44901.0
3529,1.0,4.0,437.0,171.0,106.0,747.0,6.0,10838.0,6.0,55211.0,2272.0,20327.0,14458.0
3530,2.0,5.0,882.0,407.0,249.0,1330.0,12.0,19882.0,7.0,119454.0,6831.0,42927.0,29743.0
3531,1.25,7.0,533.0,247.0,138.0,822.0,8.0,13091.0,5.0,70894.0,2999.0,25776.0,18220.0
3532,0.5,2.0,168.0,93.0,55.0,351.0,3.0,5349.0,7.0,27697.0,1108.0,9938.0,7483.0
3533,2.0,7.0,681.0,390.0,164.0,1360.0,13.0,18113.0,6.0,111615.0,5473.0,39872.0,29040.0
3534,1.25,9.0,440.0,256.0,112.0,898.0,8.0,12904.0,6.0,68969.0,3741.0,24449.0,18569.0
3535,2.5,13.0,848.0,556.0,230.0,1858.0,17.0,25351.0,7.0,151846.0,5949.0,50207.0,37814.0
3536,0.5,5.0,180.0,103.0,43.0,343.0,3.0,5108.0,7.0,27529.0,1250.0,10421.0,7196.0
3537,1.25,3.0,456.0,262.0,123.0,818.0,8.0,12841.0,6.0,70365.0,3952.0,26367.0,18804.0
3538,1.5,5.0,574.0,286.0,156.0,1105.0,9.0,16316.0,6.0,81285.0,3457.0,29866.0,22265.0
3539,1.5,5.0,660.0,284.0,168.0,992.0,9.0,15074.0,5.0,80331.0,3453.0,32156.0,22177.0
3540,1.25,8.0,540.0,251.0,98.0,824.0,8.0,11544.0,6.0,66400.0,4467.0,25989.0,18497.0
3541,2.0,13.0,747.0,417.0,232.0,1445.0,13.0,19592.0,6.0,115862.0,5041.0,42407.0,28959.0
3542,1.75,12.0,674.0,298.0,165.0,1239.0,11.0,16272.0,6.0,98753.0,4731.0,36783.0,25017.0
3543,0.75,7.0,255.0,148.0,66.0,509.0,5.0,6945.0,6.0,42052.0,2429.0,15634.0,10823.0
3544,1.25,12.0,432.0,235.0,99.0,842.0,8.0,12259.0,6.0,66689.0,3642.0,26342.0,18374.0
3545,0.5,4.0,177.0,112.0,55.0,354.0,3.0,4884.0,6.0,27653.0,1402.0,10368.0,7281.0
3546,3.0,17.0,1259.0,579.0,236.0,2163.0,20.0,30817.0,5.0,160662.0,9653.0,64016.0,43169.0
3547,1.0,6.0,389.0,219.0,116.0,664.0,6.0,9359.0,6.0,58770.0,2466.0,20813.0,15076.0
3548,2.5,11.0,1076.0,474.0,201.0,1739.0,16.0,26754.0,4.0,136070.0,5523.0,51719.0,36594.0
3549,2.5,6.0,1003.0,446.0,306.0,1700.0,17.0,27427.0,7.0,131025.0,5509.0,48973.0,37139.0
3550,1.0,2.0,344.0,209.0,104.0,753.0,6.0,9011.0,4.0,57121.0,2835.0,20159.0,14850.0
3551,2.5,6.0,1084.0,446.0,193.0,1832.0,15.0,23461.0,7.0,152546.0,5426.0,53311.0,36446.0
3552,2.0,10.0,819.0,455.0,153.0,1425.0,12.0,19708.0,6.0,109049.0,5877.0,39981.0,30164.0
3553,2.5,17.0,853.0,452.0,228.0,1708.0,17.0,22678.0,5.0,145752.0,8467.0,52707.0,36718.0
3554,2.5,21.0,836.0,534.0,279.0,1800.0,16.0,26178.0,6.0,136876.0,7948.0,48983.0,37268.0
3555,2.0,14.0,699.0,387.0,154.0,1499.0,13.0,21779.0,4.0,111705.0,5063.0,42484.0,28731.0
3556,3.0,17.0,1203.0,672.0,253.0,1951.0,18.0,30238.0,4.0,156064.0,9367.0,60459.0,44245.0
3557,2.0,12.0,855.0,395.0,232.0,1430.0,12.0,19250.0,5.0,108183.0,7089.0,41648.0,28850.0
3558,0.5,2.0,198.0,90.0,61.0,367.0,3.0,5217.0,5.0,28030.0,1569.0,10323.0,7494.0
3559,1.75,12.0,688.0,314.0,156.0,1252.0,11.0,16179.0,5.0,91487.0,4854.0,34391.0,25627.0
3560,1.75,16.0,699.0,327.0,176.0,1221.0,11.0,18786.0,6.0,103472.0,5965.0,36214.0,25326.0
3561,1.0,9.0,375.0,228.0,100.0,686.0,6.0,9881.0,7.0,59830.0,3020.0,19996.0,14621.0
3562,1.25,7.0,552.0,214.0,143.0,951.0,8.0,12743.0,5.0,72427.0,3732.0,26232.0,18801.0
3563,0.5,5.0,199.0,111.0,45.0,360.0,3.0,5350.0,6.0,26695.0,1176.0,10481.0,7465.0
3564,2.5,18.0,1106.0,444.0,220.0,1903.0,16.0,26519.0,7.0,145051.0,7397.0,50174.0,36042.0
3565,0.75,7.0,314.0,171.0,67.0,570.0,4.0,7140.0,6.0,40067.0,2104.0,15981.0,10717.0
3566,0.5,3.0,178.0,108.0,44.0,347.0,3.0,5240.0,6.0,26269.0,1457.0,9853.0,7581.0
3567,1.75,4.0,693.0,347.0,193.0,1282.0,10.0,17982.0,4.0,94053.0,5903.0,37127.0,25318.0
3568,1.75,15.0,780.0,347.0,168.0,1333.0,10.0,16847.0,4.0,107734.0,4258.0,37569.0,25181.0
3569,1.25,12.0,458.0,231.0,105.0,892.0,8.0,12838.0,4.0,73304.0,3621.0,25664.0,18384.0
3570,1.25,8.0,479.0,260.0,128.0,892.0,8.0,13504.0,6.0,67956.0,3376.0,24250.0,18448.0
3571,2.5,9.0,903.0,521.0,244.0,1718.0,17.0,27080.0,7.0,134301.0,7780.0,52834.0,36867.0
3572,1.0,6.0,434.0,213.0,109.0,721.0,6.0,10497.0,6.0,59702.0,3451.0,19491.0,14849.0
3573,3.0,13.0,1292.0,590.0,322.0,2277.0,18.0,30207.0,4.0,164378.0,7172.0,58777.0,43633.0
3574,0.75,4.0,254.0,156.0,72.0,561.0,5.0,7401.0,5.0,46465.0,2552.0,15805.0,10935.0
3575,0.5,2.0,181.0,102.0,58.0,357.0,3.0,4532.0,7.0,27263.0,1226.0,10442.0,7598.0
3576,0.75,6.0,261.0,145.0,57.0,488.0,5.0,7636.0,7.0,41082.0,2376.0,14750.0,10961.0
3577,1.75,5.0,628.0,362.0,192.0,1177.0,11.0,19197.0,4.0,96201.0,4537.0,37569.0,24925.0
3578,0.75,5.0,280.0,172.0,69.0,541.0,5.0,7364.0,5.0,41050.0,1753.0,15896.0,10824.0
3579,1.0,8.0,368.0,230.0,109.0,697.0,7.0,10266.0,5.0,57883.0,3420.0,19589.0,14660.0
3580,1.5,14.0,617.0,282.0,149.0,976.0,9.0,15227.0,6.0,82189.0,4801.0,31082.0,22429.0
3581,1.5,5.0,519.0,298.0,168.0,985.0,9.0,14564.0,5.0,78223.0,4585.0,30425.0,22779.0
3582,0.75,5.0,294.0,135.0,88.0,547.0,5.0,7208.0,5.0,42075.0,2688.0,15804.0,11036.0
3583,3.0,10.0,1075.0,688.0,352.0,2151.0,19.0,30160.0,4.0,181958.0,7380.0,60489.0,43841.0
3584,2.5,14.0,1066.0,433.0,204.0,1751.0,16.0,27278.0,4.0,151291.0,5539.0,53277.0,35849.0
3585,0.75,2.0,337.0,145.0,72.0,560.0,4.0,7574.0,7.0,42486.0,1859.0,16110.0,11239.0
3586,0.75,3.0,311.0,168.0,93.0,561.0,5.0,8132.0,5.0,45834.0,2533.0,15867.0,11095.0
3587,0.5,1.0,177.0,103.0,54.0,342.0,3.0,4959.0,6.0,27318.0,1324.0,10368.0,7466.0
3588,1.75,16.0,752.0,326.0,140.0,1249.0,12.0,18182.0,4.0,92533.0,6243.0,37373.0,26518.0
3589,2.0,7.0,888.0,360.0,230.0,1485.0,12.0,21330.0,7.0,118834.0,4514.0,41027.0,29550.0
3590,0.75,5.0,296.0,156.0,62.0,543.0,5.0,7357.0,5.0,45626.0,1740.0,14706.0,11299.0
3591,1.5,13.0,554.0,307.0,131.0,1040.0,10.0,13724.0,6.0,90757.0,4080.0,30751.0,22034.0
3592,1.25,3.0,560.0,242.0,143.0,863.0,8.0,11499.0,7.0,71034.0,2684.0,25840.0,17831.0
3593,0.5,1.0,200.0,87.0,42.0,340.0,3.0,5106.0,7.0,28148.0,1280.0,10522.0,7458.0
3594,0.75,6.0,312.0,167.0,61.0,494.0,5.0,8176.0,5.0,40101.0,2069.0,14750.0,11090.0
3595,0.75,7.0,303.0,141.0,84.0,515.0,5.0,8182.0,6.0,40823.0,1869.0,16092.0,10890.0
3596,0.75,6.0,296.0,159.0,86.0,521.0,4.0,7274.0,6.0,44190.0,2072.0,14885.0,11174.0
3597,0.75,4.0,276.0,167.0,80.0,555.0,5.0,8080.0,6.0,44612.0,2532.0,15391.0,10989.0
3598,2.0,19.0,898.0,437.0,184.0,1352.0,13.0,18479.0,7.0,116871.0,4836.0,42728.0,29049.0
3599,0.5,4.0,220.0,103.0,52.0,380.0,3.0,5170.0,4.0,27490.0,1515.0,10054.0,7283.0
3600,0.75,6.0,279.0,156.0,76.0,519.0,5.0,6836.0,7.0,40341.0,2178.0,15258.0,11295.0
3601,3.0,26.0,1230.0,586.0,267.0,2013.0,19.0,32699.0,7.0,161449.0,8888.0,61376.0,43410.0
3602,1.75,6.0,719.0,351.0,203.0,1286.0,12.0,15887.0,7.0,105654.0,4054.0,36233.0,25958.0
3603,0.5,2.0,203.0,103.0,63.0,367.0,3.0,4805.0,6.0,28723.0,1759.0,10038.0,7350.0
3604,2.0,14.0,679.0,415.0,252.0,1368.0,13.0,18970.0,5.0,116548.0,6775.0,40828.0,29516.0
3605,1.25,9.0,547.0,277.0,101.0,911.0,8.0,12231.0,4.0,73511.0,3595.0,25769.0,18680.0
3606,3.0,13.0,1219.0,605.0,307.0,1992.0,20.0,28052.0,7.0,167501.0,10288.0,60966.0,45181.0
3607,1.25,6.0,447.0,268.0,119.0,813.0,8.0,12002.0,7.0,74837.0,3367.0,24928.0,18733.0
3608,1.25,9.0,416.0,239.0,119.0,851.0,8.0,11860.0,6.0,70797.0,3449.0,24402.0,18634.0
3609,2.5,9.0,975.0,559.0,228.0,1696.0,15.0,23022.0,5.0,132754.0,8223.0,50792.0,36646.0
3610,1.75,10.0,594.0,379.0,214.0,1212.0,12.0,17120.0,6.0,94202.0,6249.0,36286.0,25140.0
3611,1.75,12.0,679.0,329.0,215.0,1217.0,11.0,16140.0,7.0,99986.0,4519.0,35891.0,25288.0
3612,1.5,10.0,557.0,321.0,167.0,1048.0,9.0,15314.0,6.0,89877.0,3273.0,30348.0,21926.0
3613,3.0,8.0,1034.0,619.0,334.0,2266.0,19.0,28752.0,4.0,179138.0,7865.0,61241.0,43317.0
3614,2.5,23.0,981.0,546.0,313.0,1844.0,15.0,26216.0,4.0,142524.0,7389.0,48699.0,35534.0
3615,3.0,23.0,1291.0,550.0,247.0,1968.0,20.0,30525.0,7.0,184086.0,10466.0,58590.0,44879.0
3616,1.75,16.0,763.0,365.0,218.0,1193.0,11.0,18603.0,6.0,91440.0,5931.0,36563.0,25672.0
3617,0.75,3.0,293.0,133.0,80.0,501.0,5.0,6770.0,5.0,40160.0,2608.0,16107.0,10883.0
3618,1.5,9.0,666.0,296.0,175.0,999.0,10.0,16191.0,7.0,87025.0,3799.0,30054.0,21406.0
3619,1.0,6.0,338.0,181.0,111.0,694.0,7.0,10609.0,5.0,56816.0,2662.0,19986.0,14432.0
3620,3.0,14.0,1191.0,565.0,282.0,2014.0,20.0,32940.0,4.0,182647.0,10281.0,62294.0,44578.0
3621,1.5,4.0,666.0,266.0,119.0,1111.0,10.0,13740.0,6.0,87058.0,5227.0,29587.0,22567.0
3622,1.0,8.0,359.0,172.0,96.0,758.0,6.0,9788.0,6.0,61276.0,2159.0,20895.0,14636.0
3623,0.75,2.0,277.0,148.0,77.0,552.0,5.0,7023.0,7.0,42244.0,2479.0,15163.0,10844.0
3624,0.5,4.0,166.0,85.0,60.0,336.0,3.0,4612.0,4.0,26728.0,1633.0,10504.0,7346.0
3625,1.0,5.0,427.0,213.0,121.0,760.0,6.0,10283.0,5.0,59070.0,2438.0,20278.0,14947.0
3626,0.5,2.0,199.0,98.0,49.0,376.0,3.0,5209.0,7.0,30634.0,1520.0,10304.0,7588.0
3627,2.5,21.0,1064.0,448.0,201.0,1766.0,15.0,22737.0,4.0,153208.0,8033.0,49676.0,37478.0
3628,2.0,14.0,788.0,342.0,239.0,1363.0,12.0,19350.0,5.0,114497.0,6983.0,39702.0,28845.0
3629,3.0,27.0,1085.0,550.0,319.0,2071.0,19.0,30174.0,4.0,168794.0,8618.0,64253.0,44331.0
3630,2.5,14.0,931.0,469.0,269.0,1811.0,16.0,24292.0,4.0,134113.0,7921.0,49220.0,37095.0
3631,2.0,10.0,829.0,406.0,208.0,1401.0,13.0,21139.0,6.0,116521.0,5044.0,41178.0,29404.0
3632,0.5,2.0,201.0,110.0,55.0,367.0,3.0,4650.0,7.0,26992.0,1084.0,10143.0,7144.0
3633,2.5,23.0,1124.0,563.0,280.0,1866.0,16.0,26708.0,6.0,154888.0,6551.0,50623.0,37330.0
3634,1.75,7.0,782.0,378.0,204.0,1157.0,12.0,16006.0,4.0,91516.0,5098.0,34725.0,26009.0
3635,1.5,8.0,495.0,259.0,138.0,995.0,9.0,14292.0,7.0,81597.0,4298.0,30873.0,21430.0
3636,2.5,22.0,869.0,498.0,243.0,1682.0,15.0,23739.0,4.0,134566.0,5493.0,52640.0,37265.0
3637,3.0,28.0,1206.0,604.0,236.0,2078.0,19.0,30851.0,6.0,166045.0,10521.0,63702.0,45442.0
3638,0.5,4.0,188.0,92.0,60.0,379.0,3.0,5152.0,6.0,27179.0,1144.0,10511.0,7291.0
3639,2.0,5.0,836.0,405.0,211.0,1302.0,13.0,19393.0,7.0,106084.0,6334.0,41718.0,28671.0
3640,1.0,10.0,353.0,179.0,121.0,747.0,7.0,9786.0,6.0,59596.0,2825.0,20835.0,14446.0
3641,2.0,17.0,710.0,370.0,204.0,1515.0,12.0,18911.0,5.0,109627.0,6522.0,40275.0,28558.0
3642,1.75,14.0,687.0,375.0,155.0,1311.0,11.0,18661.0,7.0,107357.0,3920.0,36766.0,25007.0
3643,0.75,6.0,312.0,150.0,82.0,515.0,5.0,8233.0,6.0,39076.0,2573.0,15699.0,10723.0
3644,1.25,3.0,529.0,230.0,139.0,822.0,8.0,13032.0,7.0,67842.0,3100.0,26363.0,18602.0
3645,0.75,5.0,327.0,166.0,63.0,566.0,5.0,7382.0,6.0,46213.0,2063.0,14857.0,11106.0
3646,1.75,5.0,680.0,398.0,212.0,1218.0,11.0,18676.0,4.0,104118.0,4786.0,36874.0,25313.0
3647,1.5,4.0,511.0,273.0,144.0,1117.0,10.0,15597.0,5.0,92812.0,4459.0,30730.0,22009.0
3648,1.25,7.0,439.0,277.0,134.0,917.0,7.0,12204.0,4.0,65816.0,4316.0,24597.0,18246.0
3649,2.0,4.0,778.0,347.0,187.0,1434.0,13.0,20458.0,7.0,114502.0,4896.0,42813.0,29100.0
3650,2.0,10.0,719.0,350.0,169.0,1420.0,13.0,20119.0,4.0,108543.0,6525.0,39968.0,30179.0
3651,1.75,17.0,769.0,399.0,183.0,1211.0,11.0,16790.0,6.0,91169.0,5802.0,34219.0,26495.0
3652,2.5,5.0,951.0,448.0,262.0,1683.0,17.0,23011.0,7.0,141121.0,7213.0,53715.0,37594.0
3653,1.5,4.0,579.0,334.0,152.0,1039.0,9.0,15167.0,4.0,92102.0,4332.0,32009.0,21529.0
3654,2.5,15.0,1118.0,541.0,313.0,1652.0,15.0,22917.0,6.0,150789.0,6182.0,50140.0,35524.0
3655,1.75,13.0,602.0,384.0,157.0,1180.0,11.0,18471.0,4.0,100848.0,4153.0,36722.0,25992.0
3656,0.5,3.0,192.0,100.0,56.0,367.0,3.0,5324.0,6.0,26467.0,1104.0,10151.0,7353.0
3657,0.75,5.0,326.0,128.0,59.0,543.0,5.0,7850.0,5.0,45237.0,2479.0,14795.0,11100.0
3658,1.75,15.0,766.0,384.0,211.0,1167.0,11.0,16275.0,7.0,100333.0,4649.0,34583.0,26299.0
3659,0.5,1.0,213.0,111.0,48.0,339.0,3.0,4747.0,4.0,27122.0,1731.0,10274.0,7115.0
3660,0.75,6.0,280.0,132.0,78.0,522.0,5.0,7994.0,5.0,43186.0,1976.0,15820.0,10996.0
3661,1.5,3.0,615.0,275.0,180.0,1128.0,9.0,16496.0,4.0,89614.0,4049.0,32114.0,22795.0
3662,3.0,26.0,1070.0,561.0,251.0,2196.0,20.0,31496.0,6.0,162425.0,7272.0,63598.0,45585.0
3663,2.0,13.0,873.0,387.0,227.0,1445.0,12.0,20672.0,4.0,117615.0,5870.0,42167.0,30342.0
3664,0.5,4.0,222.0,106.0,48.0,342.0,3.0,5483.0,4.0,30906.0,1774.0,10457.0,7519.0
3665,2.5,20.0,1117.0,475.0,308.0,1896.0,15.0,22580.0,6.0,134359.0,6661.0,49972.0,37951.0
3666,1.5,13.0,618.0,314.0,164.0,1016.0,9.0,15939.0,4.0,80618.0,4920.0,29564.0,21317.0
3667,1.25,10.0,513.0,257.0,135.0,891.0,8.0,12957.0,6.0,75512.0,4187.0,26804.0,17984.0
3668,3.0,29.0,1339.0,647.0,307.0,2074.0,20.0,30131.0,4.0,178867.0,7644.0,64008.0,43463.0
3669,1.75,10.0,607.0,341.0,144.0,1316.0,11.0,16351.0,6.0,96235.0,3974.0,36961.0,26161.0
3670,1.25,10.0,459.0,244.0,131.0,933.0,8.0,12130.0,4.0,66256.0,2753.0,26341.0,18501.0
3671,1.5,8.0,613.0,306.0,153.0,976.0,9.0,15601.0,5.0,88192.0,4684.0,31069.0,22650.0
3672,1.75,17.0,767.0,328.0,160.0,1232.0,10.0,18177.0,7.0,94782.0,4525.0,36592.0,25183.0
3673,0.75,5.0,272.0,147.0,75.0,499.0,5.0,7096.0,5.0,45236.0,2481.0,15038.0,11244.0
3674,0.5,2.0,208.0,106.0,40.0,345.0,3.0,4505.0,7.0,26050.0,1475.0,10003.0,7436.0
3675,0.75,3.0,290.0,146.0,70.0,538.0,5.0,7267.0,5.0,43794.0,2578.0,15588.0,11291.0
3676,1.0,4.0,372.0,193.0,102.0,698.0,6.0,10905.0,6.0,52988.0,3492.0,19963.0,14568.0
3677,1.0,7.0,353.0,177.0,105.0,750.0,6.0,10060.0,6.0,60171.0,3295.0,20900.0,14714.0
3678,0.5,3.0,171.0,105.0,45.0,357.0,3.0,5238.0,7.0,30447.0,1520.0,10485.0,7439.0
3679,2.0,4.0,667.0,383.0,159.0,1331.0,13.0,21440.0,4.0,110842.0,4742.0,39098.0,30285.0
3680,1.5,14.0,528.0,272.0,171.0,983.0,9.0,15733.0,6.0,84932.0,5330.0,29869.0,21562.0
3681,0.75,4.0,332.0,155.0,86.0,544.0,5.0,7717.0,6.0,41395.0,2166.0,14856.0,10814.0
3682,1.25,10.0,514.0,235.0,134.0,826.0,8.0,11983.0,7.0,77256.0,3919.0,24518.0,18113.0
3683,3.0,24.0,1020.0,668.0,237.0,2211.0,19.0,29207.0,6.0,178652.0,7941.0,59291.0,42840.0
3684,1.5,5.0,611.0,287.0,172.0,1008.0,9.0,15038.0,7.0,92889.0,4088.0,30321.0,22504.0
3685,0.75,3.0,315.0,171.0,89.0,501.0,5.0,8222.0,4.0,43012.0,2677.0,16057.0,11163.0
3686,1.0,8.0,344.0,200.0,114.0,762.0,6.0,9288.0,4.0,57335.0,2192.0,20034.0,14244.0
3687,2.0,19.0,863.0,432.0,242.0,1488.0,13.0,18284.0,5.0,108830.0,6355.0,42813.0,29935.0
3688,0.5,5.0,222.0,95.0,59.0,348.0,3.0,5152.0,4.0,27918.0,1461.0,9955.0,7162.0
3689,1.25,4.0,540.0,281.0,144.0,826.0,8.0,13189.0,5.0,72708.0,4485.0,26374.0,17886.0
3690,2.0,9.0,686.0,349.0,243.0,1382.0,12.0,19258.0,7.0,117983.0,5091.0,40849.0,28748.0
3691,0.5,4.0,181.0,95.0,45.0,373.0,3.0,5254.0,7.0,27676.0,1161.0,10194.0,7497.0
3692,2.5,5.0,1112.0,476.0,255.0,1712.0,15.0,26510.0,5.0,135857.0,6346.0,52574.0,37566.0
3693,2.0,18.0,856.0,456.0,203.0,1368.0,13.0,21251.0,7.0,121849.0,4953.0,40274.0,29653.0
3694,1.25,5.0,461.0,216.0,152.0,928.0,8.0,13067.0,6.0,71888.0,4435.0,26636.0,17849.0
3695,0.5,4.0,223.0,100.0,58.0,335.0,3.0,4752.0,6.0,27668.0,1540.0,10363.0,7300.0
3696,3.0,12.0,1238.0,675.0,354.0,2279.0,19.0,32145.0,5.0,180199.0,9459.0,60994.0,42896.0
3697,2.5,22.0,831.0,498.0,301.0,1729.0,15.0,24164.0,6.0,145394.0,5928.0,51519.0,36717.0
3698,2.0,15.0,801.0,439.0,248.0,1323.0,12.0,18455.0,5.0,106193.0,5197.0,42388.0,29855.0
3699,1.75,8.0,713.0,338.0,134.0,1292.0,12.0,18628.0,5.0,104032.0,4781.0,37605.0,26224.0
3700,1.25,4.0,528.0,249.0,122.0,938.0,8.0,12574.0,7.0,74347.0,3982.0,26621.0,18803.0
3701,0.5,5.0,210.0,104.0,57.0,353.0,3.0,5260.0,4.0,30453.0,1261.0,9727.0,7202.0
