Cultivated area (hec),Tillage (frequency),Operations (frequency),Seed (Kg),Seeding (frequency),Urea (kg),Phosphate  (kg),Potash (kg),Micronutrients (Kg),Carrying (kg),Fertilizing (frequency),Insecticide (lit),Herbicide (lit),Spraying (frequency),Cultivator (frequency),Water (m3),Irrigation (frequency),Harvesting (frequency),Loading & unloading (kg),yield (kg),Diesel (lit),Electricity (kwh),Calculated carbon emission (kg co2-eq),Carbon emission-CFT (kg co2-eq)
1.5,1,1,15,3,9,286,1.2,4,318,2,8,3.4,1,1,10569,9,5,16067,16067,75,8119,4494,4842
1.25,1,2,10,1,7,261,0.1,6,256,3,4,2.8,2,2,10342,9,6,13447,13447,78,7077,3397,4243
3,2,2,22,2,25,617,13.3,16,617,2,14,5.5,2,1,23523,6,5,33459,33459,195,15494,8794,9444
2,1,1,17,3,18,425,6.6,5,402,1,10,5.1,2,2,15275,9,6,24052,24052,119,11449,6193,6879
1.25,2,2,16,3,3,243,1.2,1,272,2,6,2.3,2,2,10368,8,4,13855,13855,99,5883,3320,3679
1,1,2,14,1,8,184,1.5,7,190,1,4,2.4,1,2,7600,7,5,11881,11881,51,5616,3180,3322
1,1,2,15,2,10,202,3.6,7,201,1,4,2.4,2,2,7454,6,6,11749,11749,55,5432,2715,3253
0.75,1,1,8,2,3,149,0.4,3,142,1,3,1.9,1,2,5974,6,6,8412,8412,39,3655,2242,2211
1.5,2,2,11,1,13,304,4.6,6,309,1,8,3.4,2,1,10771,9,4,17019,17019,93,6965,3937,4307
1,2,2,9,3,8,199,0.3,5,215,3,5,2.1,2,2,7949,5,4,11951,11951,60,5526,2479,3322
1.5,1,2,15,1,13,293,6.9,3,298,2,7,3.3,1,2,10977,5,5,19225,19225,79,8133,4060,4858
3,2,2,31,3,25,582,10.4,15,619,3,15,6.5,2,2,22938,5,6,39874,39874,161,14690,8651,8902
2,1,1,14,3,6,409,5.7,5,417,2,10,4.8,1,2,14988,7,3,22067,22067,105,10927,5696,6545
1,1,2,13,3,9,185,1.8,3,212,2,5,2.1,2,2,7335,6,3,11822,11822,74,5751,2361,3472
2.5,2,2,26,2,19,486,1.7,17,468,1,10,5.4,2,2,19354,9,6,29360,29360,134,13486,6811,8051
2,2,2,30,1,17,370,4.7,14,409,2,6,4.1,2,2,15326,5,3,26137,26137,111,10741,6117,6392
0.5,2,1,6,2,2,107,0.2,3,110,2,2,1.1,1,1,4136,6,4,6352,6352,37,2712,1187,1658
2.5,2,1,36,1,11,483,7.4,9,483,2,13,5,2,1,20558,5,6,27107,27107,135,12845,7729,7738
2.5,1,2,29,1,14,504,10.7,7,550,1,14,6.3,1,2,20214,5,3,29325,29325,176,14113,7790,8570
1.25,1,1,10,2,11,264,3.3,7,274,1,6,2.4,2,1,9864,9,6,14961,14961,73,6586,3224,3986
1.5,1,2,18,3,14,319,2.4,8,327,2,6,2.8,2,1,12506,5,5,18474,18474,73,7553,4163,4544
1,2,2,10,1,10,206,4.9,4,202,3,5,2.5,1,2,7577,7,6,11328,11328,75,5132,2992,3171
0.5,2,2,5,2,4,95,0.1,3,105,3,2,0.9,2,1,4237,5,3,5533,5533,40,2401,1514,1492
1.5,2,1,16,3,3,297,6.9,2,307,1,5,3.3,1,2,12433,5,4,18604,18604,106,8562,4701,5154
3,2,1,39,1,19,634,6.2,14,565,3,10,5.6,1,2,22185,8,3,33412,33412,225,16251,7341,9915
2.5,2,2,34,2,19,539,10.6,0,472,2,13,4.6,1,2,20219,7,3,33268,33268,185,12182,5870,7589
1,1,2,9,2,10,192,2.2,2,214,2,4,1.8,1,2,8529,5,3,13060,13060,54,5234,2641,3132
1.5,1,2,17,1,3,301,3.8,8,315,3,5,2.8,2,1,10963,5,5,17109,17109,106,7259,4094,4468
1.75,1,1,24,3,5,369,6.8,1,385,2,9,3.4,1,2,14401,6,4,19947,19947,90,8937,4300,5398
1,1,1,12,1,3,206,1.1,6,209,3,4,2.3,2,2,8145,7,6,11273,11273,48,4991,2666,3002
3,1,2,35,2,27,647,11,11,587,2,10,7.3,1,2,21979,6,3,33263,33263,150,17354,7302,10286
1.75,2,1,22,1,7,334,1.2,2,374,3,6,3.6,1,2,12858,7,6,23113,23113,133,8369,4843,5180
1.25,1,2,18,3,11,225,2,6,271,3,5,2.9,2,2,10382,5,4,15678,15678,82,5999,3959,3668
0.5,1,2,7,2,2,106,0.6,1,109,3,2,1.3,1,2,3672,5,4,5783,5783,39,2354,1388,1477
0.5,1,2,4,3,5,105,2,3,99,1,3,1,1,2,4143,9,4,6679,6679,37,2878,1165,1752
3,1,2,41,1,8,624,14.7,22,626,1,15,6.5,1,2,23386,8,3,36557,36557,167,16180,8939,9740
0.5,2,1,6,1,4,100,2.2,1,100,2,2,0.9,1,1,3920,6,4,6404,6404,36,2506,1243,1539
3,1,2,24,1,18,586,2.4,2,624,2,13,6.9,1,1,22313,9,4,37150,37150,152,17168,8928,10166
1,2,1,14,1,3,186,3.5,5,199,2,4,2.6,1,2,7075,5,5,11495,11495,50,5324,2769,3169
0.75,1,1,5,1,3,149,1.5,4,147,3,4,1.9,2,1,5379,9,4,9415,9415,50,4317,1867,2602
1.5,1,1,22,3,12,273,5,9,316,3,8,2.7,1,2,11010,9,3,17276,17276,90,8632,3856,5142
1.75,1,1,11,1,15,328,3.4,5,363,2,9,3.4,1,1,13868,5,6,19612,19612,101,10142,5511,6031
1.75,2,2,23,1,5,361,8.7,6,363,1,5,3.8,1,1,13608,5,5,20723,20723,100,8361,5019,5088
0.5,2,1,7,2,2,89,1,1,106,2,2,1,2,2,3637,7,5,5791,5791,39,2695,1593,1640
0.5,2,2,5,2,3,91,0.3,4,104,2,2,1.3,1,1,4136,6,6,5464,5464,24,2304,1434,1391
1,1,2,8,1,6,194,0.8,2,206,3,5,2.2,2,2,7450,7,6,13282,13282,54,5637,2448,3358
3,2,1,33,1,22,547,9.6,1,611,1,15,5.7,1,1,22472,9,3,32018,32018,194,13885,7620,8546
1.5,2,1,22,2,8,307,5.5,1,316,2,8,2.7,1,1,11791,7,4,19954,19954,95,7854,3667,4777
0.5,2,1,6,2,2,101,1.3,1,106,2,2,1.2,1,1,3505,9,5,5414,5414,39,2516,1298,1557
2.5,2,1,30,1,15,455,3.3,17,534,2,11,4.7,2,2,20579,5,3,29501,29501,129,12178,6710,7325
2,2,1,29,3,18,413,9.4,7,396,2,10,4.5,1,2,16303,5,5,24574,24574,99,9544,5845,5800
2.5,2,1,16,2,11,526,8.1,3,520,3,9,5,2,2,19184,5,6,27895,27895,163,12841,6992,7824
1.25,1,2,15,3,11,243,3.3,7,273,2,7,2.6,1,1,10378,7,3,14090,14090,87,6065,3353,3748
0.75,2,2,8,2,3,152,2.2,4,149,2,3,1.5,2,1,6029,9,6,8004,8004,48,4198,1942,2524
0.5,1,2,4,1,2,89,0.4,4,97,3,2,1,2,2,3982,5,6,6230,6230,27,2429,1231,1462
3,1,2,36,3,11,616,5.2,12,609,3,14,7.5,1,2,25169,5,3,34333,34333,180,15083,9334,9197
0.75,1,1,8,2,7,140,2.1,2,144,2,2,1.5,1,2,5431,6,3,9242,9242,51,3909,1861,2362
1.25,2,1,11,1,4,241,5.9,8,246,3,5,2.6,1,1,9505,6,5,15804,15804,71,6514,3006,3915
2.5,2,2,17,1,12,474,12.2,9,536,1,8,5.9,2,2,21348,7,6,33723,33723,199,12846,7529,7894
0.5,1,2,4,3,4,94,1.7,4,107,1,2,1,1,1,3713,8,6,6365,6365,26,2881,1452,1701
2,2,1,23,3,5,403,0.7,8,411,2,7,4.4,1,1,15859,7,4,24705,24705,104,10553,5131,6311
0.5,2,1,3,2,3,101,0.3,3,94,2,2,1.1,1,1,3923,7,6,6274,6274,33,2736,1264,1653
0.75,2,1,5,1,4,161,0.1,5,162,1,4,1.9,2,2,5407,7,6,8594,8594,37,3513,2240,2149
0.75,2,2,5,1,2,156,2.4,6,153,2,3,1.4,2,1,5317,9,4,8696,8696,48,3689,1824,2259
1.25,1,2,8,2,11,251,0.7,6,240,1,6,2.4,1,2,8867,5,3,14768,14768,77,6024,3270,3692
1.75,2,1,11,3,16,338,7.5,8,349,1,7,3.3,1,1,13641,6,5,22421,22421,115,8999,5390,5464
1.5,1,1,10,2,10,291,1.9,4,313,1,5,3.6,1,1,11306,8,5,16798,16798,76,7380,4499,4437
0.5,2,2,6,1,2,107,0.6,1,105,1,2,1.3,2,1,3566,9,4,6092,6092,28,2807,1206,1682
0.5,2,2,7,2,1,107,0.8,2,109,1,2,1.2,1,1,4241,9,4,6421,6421,39,2451,1589,1528
1.5,2,2,9,1,9,289,4,0,297,3,7,3.7,2,1,10719,5,5,18258,18258,109,8368,4127,5076
1.25,1,1,11,3,4,253,6,1,263,1,5,2.4,2,1,9519,7,4,15352,15352,99,5850,3031,3662
1,2,1,8,3,6,196,2,4,188,3,5,1.8,1,2,7374,7,6,10987,10987,69,5332,2547,3243
1,1,1,12,3,3,213,4.3,6,198,2,3,2,2,1,7770,6,3,10804,10804,51,4609,2947,2805
1.75,2,2,25,2,4,362,6.4,13,384,2,8,4.3,1,1,13445,5,5,22991,22991,118,9135,5373,5583
2.5,2,2,24,1,18,523,6.7,12,493,1,11,4.9,2,1,17627,9,5,31064,31064,158,12850,7058,7828
3,1,1,33,1,22,635,13.7,13,627,2,15,6,1,1,22958,9,5,33431,33431,161,16834,7111,10070
0.75,2,1,6,1,6,162,3.1,2,147,2,4,1.7,1,2,6213,5,3,8938,8938,44,4169,2005,2515
1.25,1,2,15,3,10,268,5.5,2,270,1,7,2.3,1,2,8903,6,4,16064,16064,66,6391,3858,3873
1.5,2,1,11,1,8,294,7,1,328,1,5,2.8,1,1,12733,9,5,16903,16903,104,7431,4324,4547
3,1,1,22,1,9,599,8,16,608,1,10,6,1,1,24900,6,4,36708,36708,225,15248,9414,9362
2.5,1,1,34,3,9,474,7.9,2,495,3,14,6.1,1,1,21099,6,3,33088,33088,123,11632,6698,7073
1.5,1,1,15,2,5,305,0.3,9,290,1,7,3.6,1,2,11570,6,6,16673,16673,94,7437,4347,4552
2.5,2,2,32,1,18,483,10.5,5,495,2,9,6,1,1,19363,5,5,33567,33567,134,14084,6702,8359
0.5,2,1,3,1,4,97,1.4,3,102,2,2,1.1,1,2,4110,9,3,5689,5689,26,2378,1310,1440
0.5,2,1,7,3,3,94,1.1,4,107,3,2,1.2,2,2,4255,8,6,5773,5773,39,2796,1581,1699
0.5,1,2,5,3,5,93,1.1,1,98,3,2,1,1,2,3673,7,5,6243,6243,25,2723,1345,1614
2,1,1,20,3,19,420,7.6,15,429,2,8,5,2,2,15487,8,5,25098,25098,148,9238,4664,5785
0.75,1,1,10,3,5,139,3.7,2,142,3,2,1.4,1,1,5333,8,5,8332,8332,42,3602,1746,2171
2,2,1,24,3,9,373,2.4,14,433,1,8,3.6,1,1,14188,7,6,26414,26414,155,9468,5696,5877
1,2,1,14,2,3,179,0.5,6,214,1,5,2.3,1,2,8533,5,5,11423,11423,63,4611,2535,2835
0.75,1,1,10,1,5,143,0.8,0,164,2,4,1.9,1,1,6173,6,3,9431,9431,41,3654,1998,2221
2,2,2,27,2,11,402,3.1,11,382,2,7,4.3,1,2,14872,7,6,23391,23391,134,10151,5184,6192
2.5,2,2,30,2,7,489,11.1,11,489,2,14,5.2,1,1,17835,9,5,29817,29817,164,12273,5944,7543
0.75,1,1,6,3,3,145,0.7,5,158,1,4,1.8,2,1,5434,8,5,8684,8684,45,3779,2295,2300
3,2,1,25,1,9,581,10.2,4,651,3,13,7,2,1,25443,8,4,35043,35043,216,17323,9078,10444
2,2,1,22,1,5,418,0.2,14,436,1,10,4.6,1,1,14921,6,6,26432,26432,118,10364,5543,6296
0.5,2,1,4,1,3,97,1,2,104,1,2,1.1,2,2,4191,8,4,6456,6456,38,2404,1588,1491
2,2,1,20,2,12,365,8.3,0,394,3,10,4.8,1,2,15989,9,5,21245,21245,145,10976,5912,6659
1.5,2,1,19,2,5,282,6.6,1,282,1,5,3.5,2,2,10885,5,6,20139,20139,79,7782,4299,4649
1.75,1,2,23,1,17,351,4.4,0,359,2,9,3.8,1,2,13096,5,6,23199,23199,128,8795,4222,5430
0.5,2,2,6,1,5,98,1.7,3,106,1,2,1.1,1,2,4117,8,4,5341,5341,33,2668,1369,1615
1.25,1,2,14,3,3,228,3.6,7,266,2,5,2.3,2,2,10680,6,4,15468,15468,80,6298,3867,3816
1,2,2,7,3,6,181,2.3,0,209,1,5,2.4,1,1,8114,8,3,13084,13084,54,5417,2628,3233
1.75,1,1,24,3,17,340,1.9,4,373,1,10,3.7,1,2,14199,7,4,23533,23533,112,8318,5203,5128
1.25,2,2,8,3,11,267,3.5,7,261,1,5,2.9,1,1,10233,7,3,16289,16289,98,6690,3166,4117
2,1,1,12,2,13,382,1.1,9,434,2,10,5.1,1,2,16009,8,4,23736,23736,129,9874,6319,6047
1.25,1,2,18,3,7,242,1.7,3,274,3,4,2.9,1,2,9887,5,4,15145,15145,72,7051,3887,4195
1.5,1,2,18,1,10,300,2.7,3,289,2,7,2.8,1,1,10811,5,3,19674,19674,120,7242,3480,4520
1.75,2,1,18,2,16,314,3.7,6,360,2,8,4.4,2,1,13724,6,4,22979,22979,88,9468,4054,5624
2,2,1,13,3,20,429,1.4,6,383,2,11,4.4,1,1,17106,7,4,22760,22760,133,10717,4743,6545
1.25,2,2,11,1,10,233,4.3,3,271,1,5,2.5,2,1,10262,6,3,13647,13647,83,6049,2997,3701
1,2,1,15,3,4,193,1.4,4,199,3,5,2.5,2,1,7462,5,6,10838,10838,72,5613,2509,3403
1,2,1,7,1,7,200,2.5,1,201,3,5,2,2,2,7869,6,4,11464,11464,62,5126,2421,3118
2,2,2,23,2,5,418,2.7,7,431,3,10,4.4,2,2,14392,5,4,26338,26338,104,9504,6077,5798
1.25,2,1,17,3,8,256,3.8,5,258,2,6,3.1,1,1,10289,5,6,16414,16414,65,6700,3034,4020
1.75,1,1,12,3,14,338,6.6,9,357,1,5,3.4,2,2,13708,6,6,22176,22176,125,9860,4485,5931
1.25,1,1,15,2,4,263,1.3,5,264,1,6,2.3,1,1,9845,6,5,15891,15891,99,5936,3647,3724
2.5,1,1,27,3,19,451,11.5,15,476,2,14,5,1,2,20379,7,3,33123,33123,134,11862,6239,7200
1.25,2,2,16,3,4,246,4.4,3,244,3,7,2.7,1,1,9616,8,6,15283,15283,98,6322,3501,3921
3,1,2,32,1,15,540,14.2,23,613,2,13,7.1,1,1,23115,9,3,31856,31856,212,15908,7853,9654
1.5,2,1,17,1,6,303,1.5,4,317,1,7,3.7,1,2,12528,5,3,18318,18318,84,7045,3999,4314
1.25,2,1,18,2,7,259,0.4,9,238,2,6,3,2,1,9405,5,4,15927,15927,97,6503,3208,4018
1.5,1,1,17,3,13,285,0.6,8,319,2,6,2.7,1,1,11582,5,3,19104,19104,91,8161,4448,4890
0.75,2,1,10,3,2,138,1.1,3,156,3,4,1.7,1,1,6406,9,3,9851,9851,56,4216,2073,2557
0.75,1,1,7,1,7,146,1.9,2,161,3,3,1.6,1,2,6276,6,3,8677,8677,49,3902,2280,2367
1.5,1,1,21,1,7,292,7.4,5,305,2,5,3.3,2,2,12234,5,5,15790,15790,86,8297,3668,4948
3,1,1,24,3,13,614,8.5,20,581,1,12,6.3,2,1,21776,9,3,38205,38205,204,17156,7674,10332
1,1,2,13,2,10,205,4.5,4,189,3,4,1.9,1,2,8380,7,5,12265,12265,74,4956,2556,3060
0.5,2,2,7,2,3,92,0.1,3,100,2,2,1.3,1,2,3785,9,3,6245,6245,39,2593,1493,1591
1,1,2,8,1,8,184,4.9,6,188,3,4,1.9,2,2,8341,5,3,11925,11925,75,5541,2384,3353
2,1,2,30,3,17,403,4.1,15,432,1,11,4.6,1,2,14084,5,6,25208,25208,135,9986,5756,6146
1,2,2,14,2,9,181,3.5,5,203,1,3,2.4,1,2,8398,6,3,11598,11598,77,5140,2458,3142
0.75,2,2,11,1,6,154,0.8,3,147,3,4,1.7,2,1,5467,7,3,8405,8405,49,4021,2313,2446
0.75,1,2,8,1,6,152,0.6,1,162,2,3,1.6,2,1,5405,8,4,8191,8191,36,3881,1872,2321
1.75,2,1,12,2,4,320,0,10,350,1,6,3.3,2,1,13476,6,5,20231,20231,91,8129,4246,4908
1,2,1,11,3,2,194,1.5,8,199,1,4,2.4,1,1,7948,5,6,13059,13059,59,5130,2852,3100
2,1,1,15,2,16,388,8.4,8,391,1,10,4.6,1,1,14719,5,5,26233,26233,125,11193,6351,6728
0.75,1,1,8,3,3,161,0.6,2,157,1,3,1.8,1,2,5654,8,5,7880,7880,58,3846,2020,2380
1,1,2,13,1,2,194,3.6,3,193,1,4,2.5,1,2,8372,8,4,11980,11980,67,5180,3176,3152
2.5,1,1,36,1,16,515,6.1,11,495,3,11,6.4,2,2,18217,9,4,33477,33477,199,13382,6733,8241
1.75,2,2,24,1,9,318,5.3,3,344,3,9,4.3,1,1,14321,7,4,23510,23510,88,9141,4026,5464
0.75,2,1,6,3,3,161,1.4,5,152,1,4,1.6,1,1,6209,6,4,9038,9038,48,3916,1927,2393
2,2,2,14,2,13,432,5.4,9,438,1,7,4.4,2,1,14665,9,3,26216,26216,151,10806,4872,6615
1,2,2,11,2,6,185,4.2,5,209,3,5,2.3,2,2,7662,6,4,11566,11566,72,5549,2621,3361
1.25,2,1,14,1,4,264,0.3,2,273,2,7,3,2,2,10241,5,6,13296,13296,61,6819,3786,4085
2.5,1,1,29,1,8,501,7.7,12,502,3,11,6.1,2,2,18116,9,3,31017,31017,180,13053,6745,7995
1.25,2,1,12,3,5,230,5.3,7,252,1,5,3.1,2,2,9741,6,6,15902,15902,84,6105,3818,3736
2,2,2,19,1,11,362,8.8,10,427,1,10,3.9,1,2,15182,5,5,26366,26366,99,9816,6070,5895
0.75,2,2,9,3,6,139,1.4,5,147,2,3,1.7,1,1,6446,7,6,8781,8781,43,3608,1904,2189
2,1,2,18,2,14,384,8.5,5,407,1,10,3.8,2,2,15426,8,4,24684,24684,97,11476,4875,6779
3,2,2,31,1,26,631,1.3,12,598,2,14,6.4,2,2,25160,5,6,39639,39639,192,14633,9561,9001
1,1,1,9,3,10,193,2.5,4,206,1,5,2,2,2,8146,8,5,11624,11624,58,5048,3166,3058
2,2,2,13,1,16,392,9.4,15,435,1,7,4,2,1,17185,8,6,25081,25081,119,10022,6015,6066
1,2,1,12,1,7,205,0.8,0,204,3,5,2.6,2,2,8311,8,3,11249,11249,70,5247,2871,3216
1,2,1,11,1,4,185,3.4,4,204,2,5,2.5,1,1,7757,9,3,12536,12536,74,5235,2402,3204
1.5,1,2,14,1,6,290,5.7,0,317,1,7,3.8,1,2,12477,9,4,16841,16841,82,6936,4325,4240
2.5,1,1,27,3,10,537,8.3,17,550,3,12,5.6,1,2,18459,5,3,32704,32704,198,12154,5910,7613
2.5,2,2,21,1,13,455,0.7,11,546,2,10,6.1,1,1,17667,6,6,29803,29803,149,14085,7249,8393
1,2,2,9,1,8,186,3.4,5,204,3,5,2.5,1,2,7004,6,6,11525,11525,55,4961,2608,3002
1.75,2,2,18,2,15,337,7.3,14,336,1,8,4,2,1,14959,6,3,20819,20819,105,8455,4639,5161
3,1,2,37,2,17,643,5.5,13,648,2,13,5.9,2,2,25799,9,6,32865,32865,144,16655,7566,9911
1.75,2,1,13,1,16,345,6.5,0,353,2,8,4.1,1,1,13645,6,6,23070,23070,117,8228,4650,5087
1.25,2,1,18,1,6,224,5.5,4,258,3,4,3.1,1,1,10626,6,4,16299,16299,87,6230,3584,3797
1.5,1,1,14,2,13,271,0,5,290,2,5,3.8,1,2,10559,8,6,17648,17648,87,8346,4549,4964
2,1,1,25,1,14,361,7.6,3,376,2,7,4.5,1,1,16178,5,3,26670,26670,115,11209,4922,6655
0.75,2,2,6,3,2,152,3.1,4,152,3,4,1.5,1,1,5482,8,5,8997,8997,38,3969,1782,2381
0.5,1,2,4,1,5,101,0.8,4,110,3,2,1.1,1,2,4128,7,3,6375,6375,27,2682,1192,1606
0.5,2,2,6,3,5,92,1.1,3,97,3,2,0.9,2,1,3554,6,4,5747,5747,25,2724,1524,1613
2.5,1,2,28,1,13,463,7.7,7,545,3,8,4.9,2,1,21037,8,4,33448,33448,173,13664,6220,8225
0.5,1,1,4,1,2,102,2.1,1,99,2,2,1.1,2,2,3570,5,6,6011,6011,40,2785,1414,1702
0.75,2,1,11,1,4,156,3.5,4,152,3,3,1.6,1,1,5486,8,4,8917,8917,49,4140,1913,2501
0.75,2,2,6,3,6,148,0.3,3,152,3,4,1.5,1,1,6328,9,3,8304,8304,51,4023,1747,2447
1.75,1,1,24,3,6,339,0.6,2,342,1,6,4.3,2,2,13270,5,3,20288,20288,96,9358,4708,5594
1.5,1,2,22,3,4,311,6.3,5,292,2,5,3.9,1,2,10839,7,3,16891,16891,112,7474,4106,4618
2,2,1,15,2,5,382,5,1,403,3,9,5.1,1,2,15858,7,6,21309,21309,153,11146,4852,6781
1,2,1,10,2,10,207,1.1,7,192,2,3,2.3,2,2,8121,8,4,12687,12687,52,4741,2804,2875
0.5,2,2,6,1,2,107,0.1,2,109,2,3,1.1,1,2,3886,5,4,6152,6152,35,2729,1553,1670
1.25,1,2,10,3,9,244,4.8,9,241,2,6,2.7,2,1,9843,8,5,15193,15193,83,5940,3865,3663
0.75,1,1,5,3,5,154,1.3,4,145,3,4,1.4,2,2,6034,5,6,10083,10083,57,3689,2003,2294
3,2,1,38,2,22,551,7,21,647,1,14,7.3,2,1,21152,6,5,33769,33769,211,15726,9217,9575
0.75,2,1,9,1,3,136,3.7,5,152,1,4,1.6,2,1,6277,6,4,9396,9396,43,4303,2102,2560
1.5,1,1,9,1,7,281,1.9,9,327,1,6,2.9,1,2,12270,5,3,15885,15885,107,7397,3491,4537
1.5,1,1,20,2,14,288,4.7,3,291,3,6,3.8,1,2,11563,5,6,17549,17549,98,8321,3650,5008
1,1,1,7,1,7,205,4.7,1,188,1,3,2.2,1,1,7952,5,3,11247,11247,73,5747,2573,3467
2,1,2,17,2,13,395,2.1,8,391,3,7,4.5,2,2,15058,6,3,24341,24341,126,9508,4956,5824
1.75,2,1,22,2,5,355,8.5,7,328,3,6,3.8,1,1,12280,6,4,23606,23606,129,9732,4645,5903
0.5,2,2,6,1,3,93,0.2,4,106,1,3,1,2,1,3778,5,5,6602,6602,32,2753,1159,1660
1,2,2,11,2,4,179,3,3,205,1,5,2.3,1,1,7990,8,4,10504,10504,58,5266,2481,3164
1,1,2,10,2,3,207,4.9,0,200,3,4,2.2,1,2,8309,8,3,11210,11210,79,5353,3043,3289
2,2,2,25,3,16,429,4.8,8,380,1,11,4.2,1,2,16961,9,5,21124,21124,121,9702,5603,5972
3,1,2,24,1,22,617,1.5,6,633,2,16,6.6,1,2,22113,9,3,38454,38454,178,14722,7875,9012
1.75,2,1,12,1,12,336,0.5,9,329,3,7,4.1,1,2,12752,9,4,19368,19368,134,9148,4203,5607
2.5,1,2,37,1,7,492,4.5,5,503,3,11,4.9,1,2,18769,5,3,32823,32823,187,14177,6150,8589
1,2,2,9,2,9,195,4.9,6,204,2,4,2.5,1,2,7913,9,5,13226,13226,75,5219,2614,3199
0.5,2,1,4,1,3,104,1.3,1,109,3,2,1,1,1,4073,8,4,5485,5485,29,2455,1231,1495
0.75,2,1,5,3,7,145,2.4,6,165,1,3,1.7,1,2,6305,7,6,8311,8311,58,3657,2154,2267
0.75,2,2,8,2,4,159,1.3,2,152,3,4,1.8,1,1,6044,6,6,8925,8925,53,4107,2020,2509
2,2,1,20,3,14,424,2.7,5,376,1,7,4.3,2,1,15270,7,5,24436,24436,133,10049,5597,6153
1,1,1,9,3,8,213,1.9,2,220,1,4,1.8,2,2,7866,7,3,10840,10840,54,5714,2977,3402
1.25,2,2,13,2,10,241,1.6,5,237,2,5,3.1,2,1,8982,6,5,13636,13636,79,6270,3141,3816
3,2,2,40,3,24,564,7.3,18,605,1,15,5.4,1,1,21155,7,6,38492,38492,216,16075,7278,9778
1,1,1,10,3,5,208,2.9,5,214,2,5,1.9,1,1,7009,5,5,11297,11297,69,4871,2458,3011
2.5,2,1,16,3,14,495,1.9,17,536,3,12,5.9,2,2,18468,7,6,30758,30758,157,12917,6791,7853
1.75,1,1,17,2,9,316,3.5,3,335,1,6,4.1,1,1,14710,8,5,21127,21127,133,9333,4131,5675
1.5,2,1,9,1,14,308,7.1,2,298,2,6,3.3,2,1,11140,9,6,17252,17252,94,8380,3685,5039
1.75,2,1,11,1,6,357,4.6,12,378,3,6,3.9,1,2,12961,7,6,19011,19011,112,9118,4681,5530
1,1,2,14,3,9,199,2.4,2,188,3,4,2.4,2,1,7831,5,6,10601,10601,70,4865,2728,2999
1.5,2,1,10,3,15,300,6.7,1,298,2,8,3.9,1,1,12164,9,4,18741,18741,96,7567,4475,4634
2.5,2,1,16,2,22,498,9.8,11,509,2,12,6.4,2,1,19849,6,3,27754,27754,123,11949,7142,7245
1,1,2,12,1,5,193,3.7,2,214,3,5,2.3,2,2,7396,5,4,11430,11430,62,4624,2711,2851
1.25,2,2,14,3,4,236,5.8,8,249,1,5,2.7,2,1,10439,9,4,15300,15300,69,6501,3378,3899
2,2,1,29,3,13,419,7,13,406,3,6,4.4,2,2,16287,8,4,21548,21548,112,9448,5900,5760
0.75,1,1,7,1,4,156,0.7,5,143,3,2,1.4,1,1,6219,6,5,10115,10115,46,3619,2252,2207
1.75,2,1,19,2,10,342,8.4,9,339,2,5,4,2,1,14160,7,6,19138,19138,91,10059,4184,5938
2,2,1,17,3,5,365,4.3,7,379,2,8,4,2,2,15978,7,6,25467,25467,156,9965,4859,6138
2.5,2,1,27,1,19,490,1,12,508,2,12,4.5,1,2,20586,9,4,27362,27362,195,13744,5967,8391
1.75,2,2,19,2,13,325,2.8,8,366,2,7,4.1,2,1,12787,8,5,20092,20092,89,9574,4790,5681
1.5,1,1,19,3,14,301,3.1,12,302,3,7,3.4,2,2,12203,8,4,19106,19106,117,7302,4753,4548
1.75,2,1,15,2,14,353,1.3,12,346,2,6,3.6,2,1,14615,7,4,19233,19233,130,9612,4078,5840
1.25,1,2,12,1,11,229,5.5,1,236,1,5,2.3,2,2,10076,5,4,14304,14304,78,6591,3195,3965
1.25,2,2,9,2,4,253,1.7,1,244,3,4,3.1,2,2,9957,9,5,13820,13820,74,7003,3633,4187
2.5,1,1,19,2,15,532,12.5,7,518,1,11,4.8,2,1,18373,6,6,29283,29283,181,12742,7302,7849
0.75,2,2,6,3,3,142,2.7,4,147,2,4,1.9,2,1,5358,5,5,8566,8566,58,3669,2149,2281
1.25,2,2,14,3,7,241,1,3,260,2,6,3,2,2,9965,6,5,15694,15694,69,5871,3638,3583
1.5,1,2,17,3,4,307,5.1,10,316,3,5,3.9,1,2,12291,5,5,17388,17388,96,7174,4587,4407
2.5,1,1,31,1,9,476,10.8,12,536,2,12,5.7,1,2,20282,6,5,33494,33494,146,12535,7480,7600
3,1,2,30,2,15,623,3.7,20,587,2,10,6.5,1,1,25479,9,5,35855,35855,226,14019,7110,8744
3,2,2,37,2,17,633,7.4,12,649,2,10,6.1,2,2,21507,8,4,37883,37883,233,15420,8774,9507
1,2,2,12,1,4,186,4.4,1,202,1,5,2.4,1,2,8457,9,6,12527,12527,72,4944,2491,3045
0.5,1,2,7,1,2,95,2.3,3,101,2,2,1,2,1,4082,6,3,5754,5754,40,2741,1315,1672
2,2,2,16,3,13,379,5.2,13,433,1,10,4.6,2,1,16537,5,6,23901,23901,105,9822,5939,5937
2,1,2,19,1,14,378,3.8,11,395,1,7,3.9,2,1,15555,7,3,23159,23159,110,9962,5274,5994
1.25,1,2,10,3,6,232,2.5,3,251,2,4,3.1,1,1,10098,7,6,14213,14213,80,6620,3046,3987
