Cultivated area (hec),Seed (Kg),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Insecticide (lit),Water (m3),Irrigation frequency,Yield (kg),Fuel (lit),Electricity (kwh),Calculated carbon emission(kg co2-eq)
2.5,5.3,390,261,126,963,6.4,10249,7,127484,91,1118,38942
1.25,3.3,174,140,70,528,2.5,5230,5,63792,44,2746,20887
1.5,2.7,186,169,75,570,3.3,6359,4,71391,54,670,22327
1,1.8,138,108,64,436,2.7,3956,7,50175,39,1952,15728
1,3,146,108,61,405,2.5,3434,7,47571,37,1761,16272
1.25,4.6,212,131,61,561,2.8,4308,6,63058,45,1931,22297
1,3.2,156,107,58,379,2.8,3529,4,51178,35,1049,16000
1.75,6,310,194,81,636,3.4,7686,7,91969,65,945,29080
0.5,0.7,78,45,25,222,1,2161,7,24691,19,846,8743
1.75,3.1,290,160,81,731,3.4,7081,4,90157,63,1967,26360
2.5,6.6,318,201,108,943,7.4,9833,7,124475,92,3562,41354
0.5,0.8,68,51,20,209,1.2,1715,4,24252,20,692,8068
1.5,4.5,234,164,74,656,3.8,6305,5,78839,54,1662,22358
0.75,0.9,99,79,31,313,1.8,2952,5,35800,29,765,11460
2,5.1,344,182,84,762,5.4,9127,5,97473,79,3828,32312
3,4.9,418,251,165,1247,8,10666,4,149283,120,5794,49059
1.75,5.1,229,162,109,754,4.8,6076,6,90773,63,3875,27093
1.25,3.4,190,132,55,461,2.4,5082,7,61077,46,568,22100
2,3.1,327,164,101,740,5.3,8102,7,94332,72,1297,31961
1,1.1,157,82,44,448,2.3,3851,7,52668,38,682,14986
0.5,1.7,87,42,26,207,1.1,2144,5,23529,18,634,8671
1.75,6.9,253,172,78,664,4.6,7592,6,86630,70,2625,26038
0.75,0.8,127,86,41,320,1.9,2760,6,38929,27,1359,12051
1.75,5.6,237,187,96,728,4.2,8116,4,91730,65,715,28699
1.25,3.5,214,130,72,463,2.9,4572,6,63122,49,1904,21747
1.75,2.4,289,144,113,749,4.7,7707,7,87514,70,1444,28874
1.5,4.3,261,152,75,600,3,6014,5,74383,57,1241,22728
1.75,5.5,267,187,74,705,4.2,6547,4,88205,64,1291,27213
2,3.9,307,214,121,870,4.4,9136,4,102851,77,3388,35537
0.75,1.7,112,78,39,328,1.5,3177,7,36259,28,1302,13358
1.5,2.9,208,148,92,591,3,6677,6,77190,58,1959,22720
1.75,3.2,265,178,96,692,4.8,7998,5,83428,68,2077,26500
0.5,1.6,64,56,28,185,1,1970,7,25062,20,161,8634
2.5,8.7,336,219,128,1019,7.2,10081,4,127829,97,3311,42567
2.5,3.4,368,241,150,1068,6.7,10283,5,128979,93,2559,44704
0.5,1.1,67,54,27,193,1,2258,6,24034,18,318,8065
1.75,3.6,262,151,79,665,4.4,6968,4,84853,62,540,27360
1,1.4,133,87,53,431,2.5,3809,7,49752,37,1351,15653
1.5,3.7,208,152,76,624,4,6458,7,75905,56,3314,22564
1.75,2.9,263,180,113,664,4.9,6514,7,85206,65,1423,28355
0.75,2.1,111,83,38,335,1.5,3183,6,38905,29,723,11351
3,3.5,366,253,134,1124,6.5,11758,4,149797,112,1527,51417
1.5,3.3,222,167,73,632,3.7,6165,6,73876,58,2601,24139
2,2.6,241,164,107,812,4.1,7436,7,94758,77,769,30261
1.75,3.1,245,153,109,653,4.3,8061,5,84166,67,2809,27285
0.5,0.8,84,42,27,215,1.3,2178,6,24326,18,771,7503
2,4.4,280,177,100,842,5.5,8523,7,100127,76,1412,32973
2.5,7.5,428,278,124,906,5.3,9323,6,129857,97,4318,38905
2,4.9,337,199,84,893,4.7,8950,6,95537,78,1301,32671
1.5,2,234,150,86,592,3,5470,5,77258,59,1078,25117
0.75,1.6,94,86,39,301,1.9,2601,5,37399,27,1608,12084
1,2.9,128,88,59,448,2,3966,5,52826,35,1439,17631
0.75,0.9,92,83,33,335,2.1,3262,4,36289,28,981,12180
1,1,500,150,50,830,6,6000,4,25000,1400,4001,21300
1.75,4.5,943,189,94,1473,11,10043,6,49246,2337,7351,33754
0.75,1.4,384,76,38,644,5,4709,2,19513,959,2914,16216
2,2.6,1065,189,141,1755,13,11683,2,58232,2843,8956,38117
3,6,1368,345,214,2265,21,15256,3,85562,3424,12907,59929
2.5,5,1195,232,149,2216,16,17000,5,74269,3469,10464,51422
3,5,1571,259,111,2465,16,15541,4,79755,3432,12752,70753
1,1.3,497,108,55,830,6,5735,6,29668,1428,4280,21519
0.75,2.1,357,65,28,617,5,5159,3,20770,861,2935,15718
1.5,3.5,778,178,64,1155,8,9693,6,35603,1732,6486,32407
1.5,3,823,157,79,1168,8,9334,3,33794,1819,6681,29638
0.75,1.4,389,77,42,574,4,4426,6,21682,1111,2915,18116
3,4.1,1545,324,227,2447,18,16572,6,80714,3379,12838,70586
1.5,1.6,744,173,67,1262,8,10173,4,34400,2029,6279,30572
1.75,2.6,837,223,110,1321,11,10254,2,50653,2555,7629,40830
1.25,3.1,626,162,82,1020,8,7707,2,31169,1607,5056,23913
1.25,3.4,616,118,70,1016,9,7979,4,33909,1550,5397,27543
0.75,2,408,96,39,647,4,3970,3,20828,909,3248,18738
0.5,1.2,244,54,26,419,3,3496,6,12196,699,2207,11123
1,2.6,523,95,40,890,6,5039,6,22747,1151,3928,24775
1.5,4,700,144,59,1213,9,8976,5,36644,2023,6391,31492
1.25,3.5,629,134,57,1124,9,6657,3,31320,1772,5210,27865
1.5,4.3,797,134,85,1254,8,9438,4,36475,1763,6215,35374
2,4.1,908,259,79,1573,13,10402,2,59441,2501,8739,47437
2.5,6.9,1205,220,184,1962,17,17459,6,70408,3355,11172,61393
1,2.9,521,97,49,828,5,6045,6,26209,1494,4359,23075
1.75,4.7,828,182,69,1548,10,8876,5,50749,2465,6893,38050
1.5,3.9,732,137,88,1278,9,7932,2,41986,1791,6320,29287
2,2.3,951,195,149,1535,14,13245,6,59491,2504,7633,39224
1.5,1.8,808,138,71,1144,10,10138,5,44894,1660,5990,34262
1.5,4.3,723,176,89,1349,8,8095,5,34662,1684,6135,31673
1.25,2.5,611,150,77,1112,7,6861,2,36414,1456,5565,30827
2.5,5.2,1167,278,181,2014,14,12981,4,63371,2935,10341,61873
2.5,4.7,1345,211,171,1939,13,13126,5,58175,2900,10998,57226
0.5,0.9,233,43,25,385,3,2532,4,14973,685,2245,10711
2,5.2,1031,216,133,1723,11,11427,5,47302,2697,7968,47115
1.75,4.2,908,154,91,1417,10,10440,3,49511,2020,7074,40432
2.5,3,1191,260,173,2106,17,14927,4,63110,3481,10898,62118
1.5,4.2,804,155,112,1298,10,10386,4,43925,1771,6286,31405
2,3.5,1093,226,104,1799,13,12021,2,46673,2836,8968,39396
0.5,1.4,275,61,36,413,3,2711,5,13109,646,2151,9531
0.5,0.5,239,51,20,408,3,3020,4,11395,675,2244,12460
1.5,4.4,744,153,90,1205,8,9697,6,40393,1897,6666,33859
2.5,5.6,1268,213,131,2018,16,16369,5,55129,2853,10906,55931
1.75,4.3,892,146,92,1403,10,11465,6,41072,2039,7828,35912
1,1,505,91,61,752,6,6334,2,26854,1455,4263,21549
0.5,0.6,247,49,30,413,3,3381,4,13121,589,2211,11593
2,2.2,1016,190,132,1765,13,12961,5,57797,2329,8866,43994
0.5,0.7,255,55,34,394,3,2594,6,12174,551,2085,10291
1.25,2.8,567,162,53,1074,9,6629,2,32588,1650,5397,26935
0.5,1.3,236,45,25,399,3,2813,5,13756,588,2113,10391
1.75,5,953,195,80,1349,11,10149,4,49446,2245,6711,42047
2.5,6.7,1182,312,147,1913,15,15690,4,64384,3467,9851,49877
0.75,1.9,409,63,30,611,4,5186,2,21014,839,3198,15813
1.75,1.9,825,187,77,1354,10,11853,2,42239,2321,7803,36704
1.25,1.4,676,118,71,1109,8,8533,4,30017,1574,4963,27405
1.75,5,876,144,63,1540,11,11261,2,52333,1934,6685,39531
1.75,4.6,898,216,104,1419,11,11321,2,49773,2411,7775,35428
0.75,2,345,88,43,664,4,3938,5,20675,1070,3037,15248
1.75,2.1,793,169,131,1406,12,9331,4,44828,1978,7247,34677
2,3.1,917,194,104,1627,14,10264,6,46285,2691,8247,47359
2,4.8,1010,213,88,1660,12,12256,6,50108,2892,8146,44296
3,4.4,1489,337,177,2665,21,18915,5,66110,4138,11577,63742
2,3.8,905,235,90,1763,13,12083,4,45698,2933,8112,42035
1.5,3.1,708,153,98,1148,10,9840,5,37462,2212,6258,29036
2,3.1,1096,254,118,1783,13,11136,2,49294,2933,8741,40697
2.5,3.1,1343,211,131,2054,17,16940,2,74229,3623,11184,50629
0.5,0.7,237,41,36,387,3,3268,3,12634,735,2031,9685
2,4.5,1027,183,126,1790,10,10181,6,49071,2972,8570,46677
2.5,7,1151,292,159,2061,13,14621,5,66609,3225,9836,52446
2.5,3.2,1281,256,148,2103,17,17495,5,64596,3560,9921,60642
1.25,1.8,600,115,69,1088,7,6361,5,35979,1409,5221,27077
3,3.5,1467,378,201,2412,17,20014,4,70990,3443,12833,67102
1.75,3.4,889,219,115,1354,10,9099,6,39514,2315,7415,34902
1.75,2.7,925,203,98,1391,11,11825,2,39353,2563,7746,36350
0.75,1.9,381,81,55,643,5,4426,4,21323,933,3132,14947
1.5,4.2,714,177,108,1332,10,9857,3,36551,2245,6485,34249
1.25,1.7,678,125,52,975,7,7972,3,29618,1409,5342,24177
1,2.9,535,111,68,895,6,5409,6,25834,1212,3930,20116
2,4.5,991,212,80,1748,11,11898,6,54770,2686,8766,44468
1.25,1.7,603,126,87,1111,7,6540,6,32707,1706,5529,27732
0.5,0.6,246,53,23,376,3,3451,4,13034,582,1914,10298
2,3.2,925,187,74,1535,11,13796,4,48728,2757,8892,41718
0.75,1.7,366,67,36,644,5,4937,5,17534,967,3218,15196
0.5,0.8,256,56,21,419,3,3258,3,13107,647,1981,10869
2.5,6.5,1311,208,186,2170,15,16795,3,73342,3470,10899,53137
2,3.5,983,232,146,1514,13,13820,4,51197,2737,8800,38377
1.75,4.6,926,157,103,1472,10,9941,5,46109,2560,7088,40225
2,2.3,1008,220,119,1758,11,13185,3,47594,2214,8985,43174
2,5.9,939,187,133,1780,12,10192,5,58571,2445,8143,46601
1,2.1,496,110,74,787,5,5814,3,26554,1146,4064,23172
1.75,4.2,908,187,86,1428,12,8758,6,44236,2292,7577,34520
1,1.4,545,105,58,853,6,5040,3,24731,1135,4138,23636
2.5,5.3,1187,277,144,1971,17,16330,6,71858,3694,9956,48402
0.75,1.6,355,73,41,647,5,3974,5,19489,943,3008,14633
3,6.8,1511,300,146,2312,16,16905,2,66080,3460,12834,69447
1.75,4.8,955,225,68,1409,12,10475,2,50007,2497,6830,33971
1.5,2.9,763,183,92,1233,10,9889,3,36696,2224,6464,32778
0.75,1.1,371,96,47,609,4,4246,5,20881,1002,3210,16616
3,7.5,1431,367,196,2483,21,20679,4,81795,3771,12163,66168
0.75,1.7,405,77,54,574,4,4551,4,22161,955,3007,15757
3,7,1545,261,145,2639,17,16006,4,69307,3831,12087,66113
1,2.3,528,129,68,837,6,6135,3,29263,1278,4394,19443
3,6,1505,388,173,2564,17,16917,3,83816,3596,11552,60919
1.5,3.2,801,129,63,1162,8,10267,5,34834,2012,5899,35559
1.75,2.3,822,187,93,1533,12,10620,6,49143,2101,6669,42474
1,2.7,526,114,68,785,6,5649,4,25744,1426,4323,19647
2,4,1009,214,111,1687,13,13290,2,59698,2940,8952,46419
0.75,0.8,346,62,40,565,5,4084,2,20342,958,3024,16552
2,4.2,918,168,137,1767,13,10157,3,53987,2328,7916,46125
1,2.1,460,114,52,810,6,6661,4,29869,1111,4014,22635
1.25,2.8,605,125,61,968,7,6331,6,36903,1469,5193,24202
1.75,5,958,200,113,1329,10,10863,4,48625,2527,7813,40640
1.25,1.6,687,142,57,941,7,6698,4,34202,1615,4878,29430
0.75,1.9,368,92,41,579,4,3938,2,18999,890,2896,14276
1,1.7,468,95,66,803,5,5280,6,23296,1323,3879,20371
1.75,2.8,802,192,72,1485,12,9070,6,50055,2110,7454,40916
3,7.9,1603,382,142,2309,17,17853,5,75518,3476,12562,60600
2.5,2.8,1251,233,168,2047,15,16223,6,59224,3480,10409,59346
1.5,2.4,678,138,113,1275,9,7951,2,41666,2230,5847,30599
0.5,0.6,258,58,22,408,3,3338,2,11877,571,2039,12173
1,2.6,511,120,51,764,6,6757,2,25499,1293,4189,22501
2.5,3.3,1187,294,114,2076,14,17490,3,65889,3171,9538,49370
1.5,3.6,815,165,66,1149,9,9078,2,40010,1674,5938,35113
2.5,7.1,1197,292,146,2102,15,16804,6,67295,3610,10161,50470
2.5,3.1,1189,321,120,2022,17,16042,4,73456,3137,10971,55064
1.25,1.6,648,111,72,980,9,6374,4,32858,1666,4904,23921
3,5.4,1643,326,224,2694,16,19459,6,78167,3469,12386,60044
1.75,4.8,898,163,107,1540,11,9999,4,45228,2409,7522,35374
2.5,6.2,1130,244,94,2189,17,15874,4,57774,3053,10330,60375
2,4,903,166,122,1512,14,13703,5,51241,2799,8540,46015
1.25,1.8,565,135,76,1055,8,6620,4,36531,1745,4848,26073
1.75,1.9,844,174,72,1352,11,9906,3,44430,2592,7280,34937
1.75,4.5,804,170,76,1407,11,10886,2,46106,2172,6686,42497
1.75,4.3,843,199,110,1404,10,10351,5,47575,2533,7236,36861
0.5,0.7,245,47,31,399,3,2585,4,14041,666,1946,9690
1.5,3.6,766,181,103,1316,9,8342,4,42336,1837,6301,28742
0.5,1,260,43,34,432,3,3306,5,12291,633,2110,10114
0.75,1.4,368,97,28,587,5,4178,4,18293,1057,2893,17779
1,1.9,491,108,63,897,6,6584,6,27462,1468,4286,19325
2,5,1017,164,133,1544,13,12423,3,49074,2721,8484,46949
2,3.2,930,228,75,1651,12,11742,3,51351,2462,8224,39722
1.75,5.2,800,191,104,1329,12,9192,4,48557,2140,7781,41842
0.5,1.4,233,49,36,446,3,2746,6,14616,577,1949,10696
0.75,1.4,400,67,48,632,5,4068,2,17383,1065,2882,15336
1.5,2.6,747,169,60,1133,9,8342,3,37395,1918,6745,32033
0.5,0.7,238,55,20,405,3,2903,6,13719,619,2065,9828
1,1.4,473,127,42,866,7,6493,2,26464,1230,4123,20410
1,2,485,128,75,775,7,5074,6,25869,1486,4098,21303
3,7.2,1609,365,166,2669,16,17256,4,76448,3584,11956,57103
3,7.9,1462,298,148,2473,20,20054,6,76350,3779,12148,74608
3,3.9,1597,372,160,2592,16,17934,2,81210,4372,11592,59391
2.5,2.7,1181,263,176,2113,15,15370,2,56658,3549,10370,53405
2.5,4.2,1224,271,175,2213,14,16809,4,69504,3532,10270,57959
1,2.3,470,128,41,761,6,6668,5,24249,1268,4032,22132
0.5,1.1,241,53,36,377,3,3338,6,11886,690,1984,10843
3,6.8,1421,362,138,2525,19,17020,2,69250,3897,12127,63563
1.25,2.9,585,142,90,1108,7,7564,3,35643,1674,4771,30307
1.5,4,762,140,95,1303,10,10261,3,40906,1827,6401,30762
2.5,5,1316,209,91,2011,14,15886,5,66482,3223,10632,57356
0.5,0.6,234,55,20,395,3,2586,4,11263,614,2165,11676
1.5,2.9,680,160,84,1144,8,8249,2,43582,2177,6207,33172
2.5,7.4,1162,242,170,1905,13,13205,5,56032,2960,9960,49665
1.75,4.7,917,215,73,1565,10,11753,2,49947,2204,6804,34240
1.5,3.5,680,127,74,1271,10,9343,6,33252,1733,6514,31824
1.25,3.6,679,113,82,942,8,6254,4,28962,1518,5510,25736
1.25,2,648,119,47,968,7,7703,5,29221,1857,5528,27424
1.25,3.3,585,144,62,1109,6,6903,2,27773,1805,5243,23824
1.5,3,736,163,73,1294,10,8322,5,43905,1689,6484,30186
2.5,3.8,1146,233,135,1979,17,13067,2,60214,2941,10990,61069
1.25,2,586,105,71,1049,7,8431,2,35572,1789,5109,27509
0.5,0.7,254,42,31,379,3,3281,2,13967,655,2064,12111
2.5,5.6,1172,294,170,2222,17,16484,6,71158,3188,9588,54839
3,3.1,1551,259,161,2607,16,15959,4,79916,3501,12086,74821
1.25,1.9,653,131,89,1083,7,7923,4,32610,1643,5517,23826
3,3.1,1508,263,152,2365,16,16508,3,66960,3823,13310,67417
1.25,2.3,607,114,47,964,7,6324,3,27681,1403,5421,28495
1.5,3.4,750,144,68,1313,10,10311,2,41105,2083,5784,33188
1.5,3.6,817,187,60,1255,10,9116,5,37667,1652,5801,29114
2,4.9,1027,246,125,1675,12,11761,3,57961,2663,7700,48478
1,2.5,526,110,62,812,5,5687,2,23079,1214,3924,19223
2,3.2,1082,259,112,1573,14,12606,6,59989,2974,8629,45953
2,4.9,1046,167,148,1613,11,10169,5,54658,2922,7903,48636
2.5,4.3,1288,237,133,1966,15,16781,3,58036,3037,10359,53763
1.75,1.8,935,209,86,1428,11,12031,2,47454,2552,7698,36975
1.75,3.4,813,223,93,1510,10,12185,5,39332,2233,7264,33476
1.5,3.3,682,175,84,1315,9,8911,6,41759,1853,6690,35586
0.5,1.1,245,55,35,424,3,3031,4,14307,727,1909,11226
2,2.3,1017,221,80,1796,11,13605,5,48652,2985,8877,45728
1.5,4,798,156,113,1209,10,9160,3,37621,1854,6510,36547
3,7,1410,308,214,2597,18,15114,5,79556,4025,12640,67695
1.5,1.7,718,139,62,1146,8,7689,2,36728,2121,5711,30870
1,2.2,516,129,61,752,7,6384,4,23525,1453,4082,20675
0.75,1.9,404,83,39,667,5,4323,6,16820,1073,3193,14820
2,4,1080,220,129,1787,11,12829,6,53771,2638,8768,44587
1,2.3,538,93,52,846,6,6276,3,27857,1452,4422,20097
2,3.4,926,196,104,1737,13,13669,2,56855,2691,7731,38303
1,2,494,107,76,836,7,6634,6,27183,1244,4257,23882
1,2.4,482,117,57,879,6,5275,5,24181,1367,4201,24160
0.5,1.3,257,50,34,387,3,2732,6,14410,560,2154,9889
0.75,1.9,372,62,49,567,4,4531,5,20871,1005,3253,16926
1.5,2.2,720,135,62,1193,8,10141,6,33153,1689,6642,31441
1.5,2.7,702,144,81,1202,8,9337,3,43163,2199,6577,31800
1.75,2,836,155,124,1558,11,11937,2,49008,2492,6879,38169
1.25,1.9,586,143,71,1095,7,6435,6,29373,1530,5104,26464
1.5,3,783,126,96,1232,9,7936,4,39066,1706,6262,31671
1.75,2.1,942,162,93,1522,12,10518,3,40895,2405,6860,38971
0.75,2.2,405,88,32,574,5,3777,3,17376,836,3108,18322
0.75,1.5,398,91,52,664,5,3914,5,22228,1022,2902,17369
1.25,2.9,582,103,60,1056,9,6856,5,31096,1532,4936,26597
1.25,3.3,636,130,78,990,7,6390,6,30445,1513,5436,27073
2,5.2,929,233,132,1637,12,12112,5,44042,2574,8409,39972
1.75,2.9,838,226,123,1464,11,12197,6,50458,1953,6848,41969
0.5,0.9,269,42,21,432,3,3048,4,13440,742,2211,10430
0.75,2.2,380,85,50,616,4,3780,4,18628,1117,3209,16534
3,6.9,1585,326,167,2347,18,16040,4,84858,4252,13117,68926
1.5,2.4,695,141,74,1239,8,7777,5,37876,1717,6168,34690
3,6.3,1397,315,161,2360,16,20897,6,81109,3506,13254,72359
0.75,1.2,371,67,48,655,4,3906,3,17029,1076,2991,16016
2,3.2,939,189,130,1775,14,10378,5,46576,2694,8384,41596
1.25,3.2,574,113,58,954,8,8036,5,30457,1487,4920,23965
2,3,1063,177,100,1637,13,13360,2,55297,2999,7912,42632
2.5,2.8,1205,314,103,2030,15,13940,4,66272,3189,11198,60586
1,2.5,458,124,69,768,6,5521,2,27264,1160,4347,20458
1.75,3.4,842,148,98,1328,9,9765,6,45571,2366,7342,36823
1,2.7,492,105,58,834,6,5766,6,27340,1353,4421,20969
2,5.3,1032,186,101,1681,11,11438,4,59899,2930,8136,41858
0.75,0.9,342,76,28,618,5,5043,5,17904,1002,2896,15046
2.5,3.2,1211,308,179,2095,16,13332,2,64495,3126,9610,50927
2.5,2.5,1152,215,120,1973,14,15826,5,62292,3288,9996,49800
1,1.6,499,129,73,844,5,6766,6,28872,1499,4197,24389
1,2.7,517,95,59,872,5,5276,2,26542,1191,4197,23104
0.75,1.1,368,73,53,596,4,4700,4,19684,870,2967,14592
1,2.7,462,112,52,889,7,5549,5,28149,1366,4294,20392
3,6.8,1479,338,203,2396,16,16831,6,86304,3604,13190,69963
1.75,4.8,861,195,90,1440,11,9098,4,47662,2530,6822,39667
0.5,1.1,263,50,30,423,3,3493,4,14099,698,2037,11565
1.25,1.4,605,150,57,979,8,7421,5,35853,1845,5160,29606
2.5,5.9,1155,271,93,2207,14,15798,5,68371,3503,10976,52571
0.5,1.2,230,59,23,438,3,3148,2,14412,715,2133,10522
2.5,6,1160,275,152,2169,16,16238,5,72358,3489,10794,55372
0.75,2.2,398,65,54,675,4,5197,5,16676,849,3337,17015
1.75,5.2,883,205,98,1458,10,11999,5,51496,2406,6938,37490
1.5,2.4,788,139,84,1199,10,8906,6,33476,1813,6465,30454
3,8.2,1488,390,177,2473,17,17604,4,89501,3820,12855,59930
0.5,1.5,264,41,37,429,3,2794,3,14492,579,2170,11251
1.25,2.1,612,143,68,1066,9,7526,6,33769,1783,5511,30751
0.75,1.1,409,76,57,652,5,4627,5,16533,1033,3357,17217
1,1.8,459,99,47,873,6,5351,3,22734,1211,3814,19098
2,4.5,1031,242,148,1672,11,13468,6,57746,2658,7913,42112
1.25,2.8,566,155,64,1065,9,6725,5,34632,1416,5141,29742
2,5.3,994,245,133,1716,11,12518,3,58949,2812,8330,47564
3,5.2,1445,330,216,2446,16,20651,3,89383,3339,11838,69482
0.5,1.2,268,55,27,403,3,3282,3,13847,734,2112,11307
0.5,1.1,253,48,29,430,3,2721,6,11777,685,2028,12211
3,5.1,1452,246,181,2586,20,15977,2,78112,3308,12685,74463
0.5,0.7,247,64,22,447,3,2801,2,13485,718,2000,10377
1.5,2.1,684,167,90,1280,9,8662,6,42241,1914,5840,33819
2.5,3.1,1218,313,112,2083,16,16653,6,74587,3359,10799,61628
0.75,1.4,412,71,51,608,5,5084,3,17869,861,3055,17087
0.5,1.1,247,45,22,381,3,3429,3,14353,675,2011,10851
2.5,7.2,1286,320,106,2145,14,15423,4,60315,3726,9881,60192
2,3.4,965,230,130,1650,10,11882,4,52613,2948,8776,49015
2,3.8,930,165,102,1591,11,10790,6,57695,2343,8628,43436
1.25,2.3,575,108,78,1085,8,6937,4,29606,1582,5598,25938
1.75,2.9,889,208,78,1331,9,10385,4,47696,2158,7141,42242
3,5,1436,359,180,2397,18,19210,3,86962,3756,12047,67816
0.5,1.4,238,57,36,393,3,2541,3,11613,554,2085,11828
1,2.1,531,110,73,804,7,5450,5,28247,1189,4181,24356
0.5,0.9,270,59,18,430,3,2589,6,12111,571,1929,11533
2,2.7,971,194,103,1736,13,10861,6,48392,2478,8062,43149
0.5,1.3,231,49,22,392,3,3227,2,11665,589,2226,10322
1.5,3,688,184,95,1322,10,10052,3,43679,1820,6335,34099
0.5,1.3,264,51,19,378,3,2746,4,11134,726,1928,11665
2.5,6,1337,258,104,1993,15,17363,6,63493,3314,10954,59449
1.25,3.6,574,138,49,1115,8,7928,2,31842,1694,5101,27745
0.5,0.8,268,55,25,401,3,2690,5,14390,724,2176,11755
2.5,5.9,1231,253,150,2170,14,17368,2,62912,3497,10428,62221
1.5,2.5,738,152,76,1168,9,8577,6,34044,1896,5830,35260
3,5.6,1407,346,123,2385,19,18715,6,67771,4406,13173,63465
0.5,1,245,61,33,390,3,3338,2,12107,641,1974,10244
0.5,0.6,246,54,18,392,3,3278,3,11901,610,2200,9922
1,1.1,534,130,60,893,6,6880,3,27033,1151,4151,21253
1.5,3.1,684,124,87,1131,10,9396,2,39855,2203,6695,34711
3,8.1,1379,292,208,2601,18,20105,5,79092,4087,13444,65955
2,3.2,983,236,79,1630,11,13718,4,53509,2549,8749,41887
2,2.2,903,204,125,1584,12,12092,5,51091,2297,8137,46088
0.5,0.9,247,62,23,407,3,3061,3,13958,689,2234,11489
2.5,5.8,1159,246,119,2002,15,15748,2,56328,2961,10854,59594
3,5.2,1403,312,197,2360,16,16039,6,87271,3802,11453,58577
0.5,1.3,271,49,27,381,3,3084,4,11047,644,1998,11617
2,2.6,967,253,100,1593,14,13695,5,44026,2813,8230,46069
1,1.2,504,82,57,848,6,6286,5,29520,1299,4434,21944
2,5.9,1000,241,104,1639,12,10445,2,55848,2865,8522,46590
2.5,4.5,1139,315,141,1981,17,15292,6,72723,3736,11102,53038
1.25,3.5,611,127,56,1001,8,7593,6,31742,1422,4926,24507
1.5,1.7,744,128,84,1198,9,8702,2,44909,1800,6615,31461
0.5,1.4,229,46,31,415,3,2786,2,14989,665,2164,11448
1,2.3,503,120,67,872,6,6365,3,22994,1442,4147,21685
1.5,1.8,781,146,56,1259,8,9301,3,36401,2246,6112,29714
2,5.6,936,252,115,1572,12,10252,3,44082,2665,8660,49464
1.75,4.5,905,163,89,1513,11,8765,4,40765,2022,6905,36985
2.5,3.6,1241,285,128,1952,13,14240,2,67569,2891,9979,59628
0.75,2.2,373,72,29,652,5,4101,3,17386,938,3119,15827
2,2.8,1064,197,105,1696,11,12450,6,51926,2445,7601,39184
1.5,3.1,733,167,105,1219,10,9136,5,35913,1973,6142,28912
0.5,1.2,275,52,22,418,3,2628,2,13776,665,1933,11530
1.5,4.5,820,157,72,1290,10,8577,3,35721,1996,6658,36121
1.25,2.4,585,157,71,958,7,8176,5,33521,1732,5553,23871
1.75,3.3,936,200,118,1568,10,11619,5,41739,2416,7841,36488
2.5,5.3,1321,256,121,1985,16,13780,5,65210,3042,10233,47995
0.5,0.6,249,44,37,429,3,2795,4,13475,679,2096,11048
2.5,2.7,1267,238,172,1998,14,12558,5,68056,3071,10148,47610
2.5,7.4,1331,291,138,2014,13,13134,2,68703,3214,10722,59085
2.5,4.6,1241,274,170,2171,13,12972,3,68435,3611,10965,57820
0.75,0.9,407,96,37,672,5,4814,4,16962,865,3314,16804
1.75,4.2,957,175,63,1449,12,10195,3,39518,2588,7109,41512
1,1.9,492,84,58,834,6,5473,3,24466,1242,4281,23079
1,1.7,476,114,39,771,7,6115,3,24207,1294,3940,24139
0.75,1.9,361,84,34,615,4,4048,5,19715,833,2920,15022
1.25,2.4,662,127,77,1043,7,6813,4,35328,1532,4770,30285
3,8.2,1557,258,228,2251,19,18806,4,73654,4383,12761,59091
1.75,3.8,847,226,101,1550,10,9661,5,41766,1992,7683,34189
2,3.3,933,250,100,1548,11,10843,3,49540,2511,7988,49808
1.5,3.1,776,175,91,1242,9,7813,5,41028,1815,5812,31574
0.75,2,355,92,47,614,5,4465,4,17321,834,2961,16928
1.75,4,849,213,131,1546,10,10851,3,42938,2191,7132,40640
3,8.8,1605,337,144,2686,17,16218,4,80589,3742,12580,61844
3,6.2,1457,311,218,2642,16,19482,5,81960,4347,12462,72328
2,4.7,1062,238,149,1546,11,10113,5,44464,2295,7938,41662
1.25,2.3,661,145,91,1114,7,7393,2,27764,1633,5106,25650
1.75,5,875,154,126,1446,9,11337,5,49510,2511,6768,43177
1,1.7,531,122,51,898,6,5207,2,26317,1242,4432,22621
0.5,1,228,41,36,412,3,3304,3,14376,708,2053,11321
0.75,1,339,87,54,586,5,4568,5,16831,1059,3150,18576
0.75,1.2,388,94,28,597,4,4714,5,21697,1065,2979,15059
0.75,1.9,339,81,53,639,4,4165,6,18667,995,2943,14810
1.5,4.2,760,134,111,1272,9,7662,5,35214,1942,6314,37271
0.75,1.3,375,79,37,674,4,4477,5,18953,866,3216,15621
1.5,4.4,760,186,78,1180,8,7577,5,42329,2021,6171,36185
1.5,2.6,802,140,66,1345,9,9868,2,33806,1871,6538,32764
1,2.1,456,90,43,777,6,6369,2,23547,1163,4123,23488
0.75,1.7,388,93,49,590,5,3881,4,21555,1089,3164,16882
2.5,3.9,1164,243,150,2038,13,15352,2,69224,2772,9730,48812
3,6.4,1546,276,220,2380,19,16172,6,88182,4300,12246,57337
