Cultivated area (hec),Tillage (frequency),Operations (frequency),Seed (Kg),Seeding (frequency),Urea (kg),Phosphate  (kg),Potash (kg),Micronutrients (Kg),Carrying (kg),Fertilizing (frequency),Insecticide (lit),Herbicide (lit),Spraying (frequency),Cultivator (frequency),Water (m3),Irrigation (frequency),Harvesting (frequency),Loading & unloading (kg),yield (kg),Diesel (lit),Electricity (kwh),Calculated carbon emission (kg co2-eq),Carbon emission-CFT (kg co2-eq)
0.75,1,1,818,3,263,115,78,9,5240,2,6,2.2,5,12,6663,2,4,47414,47414,12,7123,1532,
1.5,1,2,1733,1,609,225,139,18,8780,3,11,2.5,7,11,13761,5,4,96699,96699,19,14221,2971,
0.5,2,2,482,1,191,77,39,6,3342,3,4,0.9,7,9,4677,2,3,29349,29349,6,4791,988,
2.5,2,1,2121,3,1075,393,255,22,14574,1,19,5.3,7,9,23992,3,2,155051,155051,45,24153,5193,
2,2,2,1692,3,746,323,244,23,12288,1,15,4.1,5,10,19726,2,1,117293,117293,27,19218,3864,
0.75,1,1,732,2,315,131,66,8,4613,2,5,2,7,12,7211,4,2,46642,46642,10,7218,1577,
3,1,2,2738,1,1252,396,348,37,20278,2,22,5.7,7,11,24659,4,2,183142,183142,44,28565,5801,
1.75,2,2,1376,2,761,306,154,22,9885,3,14,3.5,7,11,17474,3,1,115169,115169,21,16780,3841,
2.5,1,2,2897,1,1034,319,284,25,16674,1,18,4.2,6,11,20604,4,1,163592,163592,35,23486,5192,
2.5,2,1,2284,1,1086,430,283,29,16381,1,19,6.7,4,10,23006,6,4,159877,159877,41,23086,5458,
0.75,1,1,620,1,325,100,83,6,4500,2,6,1.6,7,11,7411,2,4,46178,46178,10,7353,1589,
0.75,1,1,872,1,286,107,75,8,4261,1,6,1.6,4,9,7416,6,3,45302,45302,12,7136,1636,
2.5,2,1,2561,3,1060,392,237,21,17272,1,19,3.7,7,11,22186,5,1,145345,145345,43,23240,4745,
1.75,1,2,1624,2,699,233,201,15,11408,3,13,2.5,7,9,14203,5,2,111698,111698,27,16815,3296,
1.25,2,2,1149,2,460,199,100,11,7122,3,9,2.6,5,12,12166,3,2,72117,72117,17,11793,2509,
2.5,2,2,2303,2,1018,369,235,30,15522,1,19,7.2,6,9,24023,5,4,145581,145581,36,23528,5064,
1.75,2,1,2038,2,637,212,200,15,9897,2,14,3,7,11,16462,4,2,108509,108509,31,16160,3349,
1,2,1,1157,2,397,161,79,9,6946,2,8,1.3,7,12,8682,6,3,63012,63012,18,9363,2162,
3,2,1,3375,2,1196,438,369,26,19661,1,23,8.5,7,9,27691,6,2,182365,182365,37,27604,5865,
3,2,1,3286,2,1209,441,296,27,20577,3,22,5.1,4,10,29996,3,1,189059,189059,48,29170,6201,
0.5,2,2,365,1,218,80,50,5,3365,3,4,1.4,7,10,4532,6,1,29886,29886,6,4689,982,
2,2,2,1725,1,810,333,171,25,11299,2,15,3.3,6,9,18103,6,2,117779,117779,27,19108,4274,
0.75,1,2,787,3,322,95,61,6,4245,2,6,2.1,5,9,6747,6,3,42632,42632,9,7218,1516,
0.75,1,2,566,2,297,112,72,9,4253,1,6,1.2,4,11,7177,4,3,47495,47495,12,7091,1567,
1.5,2,2,1462,1,633,222,180,14,9939,3,11,2,6,11,14134,4,3,98522,98522,17,14645,3026,
1.5,2,2,1784,2,590,240,126,16,9368,2,11,2.9,5,12,13633,2,1,94215,94215,26,14174,3286,
1.25,2,2,1214,1,545,200,110,16,7864,2,10,2.2,5,10,11906,3,4,80090,80090,19,11512,2540,
1.75,1,1,1968,3,765,308,204,14,12318,1,14,4.2,6,9,14131,4,2,100811,100811,31,17239,3381,
1.75,2,2,1621,2,651,304,173,15,12475,3,14,4.8,5,11,14997,2,3,98675,98675,28,16946,3579,
2,1,2,2051,2,813,262,184,24,14539,3,15,4.7,5,9,17874,6,3,124455,124455,35,19237,4345,
1,1,2,997,2,423,175,76,8,6128,2,8,2.8,6,12,9170,4,3,60366,60366,17,9860,1952,
3,2,2,2668,3,1132,490,367,25,17601,3,23,5.4,6,10,25321,6,1,175273,175273,48,28466,6117,
2,2,2,1659,1,830,272,241,17,12403,3,15,2.6,4,11,17534,4,4,126911,126911,23,18443,4177,
0.5,1,2,373,2,209,78,55,5,2932,2,4,0.8,4,12,4580,5,4,31352,31352,8,4849,1065,
2,2,2,1725,3,748,329,173,22,12424,2,14,4.2,4,10,19130,6,3,114434,114434,24,19495,4360,
3,2,2,2928,1,1245,502,302,30,18653,3,22,7.6,5,9,24877,5,3,179631,179631,38,29187,6433,
1.75,1,2,2008,1,663,243,209,20,10279,1,13,2.7,5,12,17180,5,1,102767,102767,31,16203,3841,
2,2,1,1926,3,899,360,238,20,12306,1,15,3.1,7,11,17154,2,3,112031,112031,32,19131,4296,
2,1,2,2348,3,786,301,205,17,14507,2,15,4.1,7,9,17353,3,3,117025,117025,27,19560,4161,
2.5,2,2,2266,1,1025,322,274,29,16593,3,20,5.8,7,10,21660,5,3,141209,141209,43,23063,4957,
3,1,1,2443,2,1287,491,311,25,21802,2,22,7,5,11,24115,4,1,197002,197002,51,28251,6483,
3,2,1,2329,2,1066,537,331,34,19104,2,22,5.4,6,10,25283,5,1,188144,188144,43,27867,5810,
2,1,1,1479,2,794,343,241,16,12574,2,15,5,7,10,17427,4,3,127949,127949,22,19709,3940,
1.5,1,2,1738,3,600,223,143,16,10870,1,12,3.3,6,11,14805,5,4,92659,92659,22,14289,2930,
1,1,1,1144,1,373,142,115,11,6444,3,7,2.5,7,11,8643,3,4,56049,56049,14,9254,1917,
1,2,2,891,2,430,133,82,12,6735,3,8,2.2,7,10,8976,6,2,63192,63192,12,9337,2060,
1,2,1,860,2,403,176,90,10,6032,1,7,1.7,5,10,8350,4,3,58979,58979,18,9712,1906,
0.75,2,1,819,3,276,113,69,8,5333,2,6,2,6,12,7166,2,1,49034,49034,11,7112,1567,
0.75,1,1,898,1,264,108,86,6,4964,2,6,2.1,4,12,6902,2,4,44204,44204,12,7322,1427,
0.75,2,2,869,2,325,133,73,7,4832,3,6,1.4,7,9,7218,4,1,45249,45249,9,7200,1571,
1.5,1,1,1601,2,667,244,169,16,10920,1,12,2.8,4,10,14561,2,4,97621,97621,18,14256,3014,
1.5,1,2,1372,3,613,268,168,14,9104,3,11,2.1,6,10,14148,4,1,95626,95626,21,13995,3292,
1.75,2,1,1585,2,679,296,162,19,12283,3,13,4.9,5,10,14000,3,1,108469,108469,27,17117,3535,
1.25,2,1,1023,2,514,188,128,10,8283,2,10,2.3,6,12,10147,6,2,73953,73953,22,11722,2366,
2.5,2,2,2232,2,897,429,304,22,14341,3,20,6.5,7,10,20173,4,4,154598,154598,30,23197,4924,
0.75,2,2,647,2,313,105,65,7,4518,3,6,2,7,12,7191,2,4,44675,44675,9,6975,1460,
1.25,2,1,1265,3,558,213,117,15,7871,2,10,2.2,6,10,12316,6,1,78410,78410,14,12371,2533,
2,1,2,1401,2,706,271,164,24,12835,2,14,4.6,5,12,17622,4,1,116446,116446,26,19168,3926,
1,1,1,757,1,436,125,77,13,6707,1,8,2.2,7,10,8926,5,1,64215,64215,15,9727,2066,
2.5,1,2,2590,1,879,309,217,32,16599,3,18,3.9,5,9,20471,6,1,156597,156597,37,23827,4706,
1,1,2,828,2,424,167,113,10,6147,2,8,2.7,5,9,8397,3,3,58831,58831,17,9772,2195,
1.5,2,2,1242,2,607,244,174,18,10218,3,11,3.5,4,10,13947,6,3,98894,98894,20,14575,2858,
1,1,1,714,2,440,144,103,9,6833,1,8,2.3,6,11,8791,3,4,62487,62487,17,9828,2013,
3,1,2,3450,2,1100,452,235,27,17709,1,22,5.1,7,12,24224,6,3,180726,180726,50,27904,6319,
1.75,1,2,1806,3,644,290,209,14,10443,2,14,3.1,4,9,14714,5,3,114712,114712,28,16525,3607,
3,1,2,2810,2,1163,524,291,39,20398,2,21,5.1,5,11,25154,3,2,184544,184544,44,29308,6121,
1.25,1,1,1233,2,542,189,121,14,8955,3,9,3.1,6,11,12241,3,4,72953,72953,20,11630,2653,
2,2,2,2159,3,769,303,207,18,11755,3,16,3.1,7,10,19908,3,2,129348,129348,33,19590,4370,
3,2,1,3031,2,1155,536,341,39,19189,2,22,6.3,4,9,27901,4,3,172592,172592,42,27638,5815,
3,2,1,3299,3,1119,526,261,27,17407,3,22,6.8,7,12,29062,3,4,171354,171354,42,28828,6037,
1.25,2,2,1323,1,497,170,136,10,8210,1,9,1.7,5,9,10364,3,1,70640,70640,16,11550,2588,
1,1,1,992,1,425,174,87,8,6388,3,8,2.6,7,9,9551,2,4,63085,63085,17,9211,1917,
1.5,1,1,1624,1,664,181,121,17,8859,3,12,2.6,5,11,13212,5,2,89809,89809,17,14364,3287,
2.5,1,2,1817,3,934,437,213,29,17766,3,19,5,6,11,23686,5,1,152265,152265,29,23942,5482,
0.5,2,1,498,1,205,80,52,4,3204,3,4,0.7,7,11,4325,5,1,31020,31020,7,4631,1037,
2,2,2,1623,2,829,274,207,23,12210,1,15,5.7,7,9,18529,3,3,129507,129507,34,19119,4001,
0.75,1,2,660,2,312,109,65,9,5031,3,6,2,7,9,6382,5,2,48477,48477,10,7181,1582,
1.5,2,2,1419,3,632,267,150,12,9776,1,11,2.1,4,9,12897,2,2,89803,89803,25,13987,3132,
1.5,2,2,1445,3,548,190,126,15,9061,3,11,3.4,5,10,12895,6,2,90929,90929,18,13861,2969,
2,2,2,1961,2,793,341,172,23,13722,2,15,4.1,5,9,18493,5,4,131416,131416,28,18546,3783,
2,1,2,2048,3,888,310,202,17,13734,3,15,4.9,6,9,19165,3,3,113846,113846,35,19749,4357,
0.75,2,2,859,1,271,123,79,7,4608,3,6,1.6,4,11,7277,3,1,42931,42931,10,7034,1630,
0.5,2,1,426,3,215,66,54,5,3007,3,4,0.9,4,11,4388,3,1,31469,31469,8,4855,1008,
0.5,1,1,563,3,205,61,42,6,3246,2,4,0.7,7,10,4448,5,4,28292,28292,9,4647,1080,
1,1,2,1148,3,442,164,125,9,6498,3,7,2.4,4,9,8247,4,1,62091,62091,12,9680,2191,
1.5,2,2,1423,3,526,258,143,14,10560,1,12,2.1,4,11,14157,4,1,84537,84537,24,14674,2869,
2,2,2,2279,1,743,326,217,25,12232,2,16,3,5,12,16548,3,3,131673,131673,25,19366,3863,
1.5,2,1,1714,3,592,253,127,19,10122,1,11,3.3,4,12,13461,3,4,96029,96029,22,13980,3055,
1.75,2,2,1960,3,748,264,179,15,12641,1,13,5,5,12,14701,5,3,98687,98687,27,16901,3622,
1.5,1,1,1118,1,533,262,141,14,10345,2,12,4.3,4,11,13733,6,1,90529,90529,24,13871,3123,
2,2,2,2372,2,760,272,205,22,12843,1,15,5.4,7,12,16712,6,1,130038,130038,27,19197,3946,
1.5,1,1,1443,2,556,195,145,18,8524,3,11,2.2,6,10,12215,6,4,94174,94174,17,14617,3083,
1.5,1,2,1669,3,631,182,181,17,10601,2,11,2.7,4,12,12663,2,3,91878,91878,18,14430,3014,
1,2,2,1150,3,417,142,113,8,6505,1,7,2.8,5,10,9312,6,4,56004,56004,17,9589,1911,
1,2,2,883,2,397,151,123,12,6327,3,8,1.6,7,9,9447,5,4,58595,58595,17,9896,1987,
2,1,2,2049,1,709,324,203,23,14422,1,15,5.7,7,12,18370,3,3,127468,127468,24,18477,4261,
0.75,2,2,530,1,281,93,70,8,4381,3,6,2,5,11,6336,6,1,47271,47271,9,6920,1449,
2.5,2,1,2644,2,1023,319,233,28,14762,2,18,6.4,4,12,24987,4,3,156967,156967,39,23008,5485,
1.75,2,2,1676,2,716,228,204,17,11541,3,13,4.4,4,9,16070,2,4,99615,99615,26,17047,3489,
1,2,2,923,1,399,149,101,9,6012,1,8,2,6,12,9553,5,4,59732,59732,16,9413,2006,
0.5,2,1,594,2,202,70,47,6,3353,1,4,0.7,7,12,4353,4,2,32666,32666,7,4708,1059,
2,1,2,1422,3,830,321,176,24,11742,1,15,3.4,6,12,19461,5,3,114404,114404,34,18495,4190,
0.5,1,2,552,3,186,66,62,5,3186,1,4,0.9,6,11,4332,6,4,29098,29098,6,4943,997,
3,1,1,3010,2,1342,368,286,37,17387,1,23,7,7,9,27431,5,2,187007,187007,53,27948,5805,
1.25,2,2,1332,3,491,217,153,11,8186,3,10,2.2,7,9,11880,2,3,78524,78524,21,12023,2609,
1,1,1,1097,1,374,135,95,10,5811,2,8,1.7,6,11,8449,6,1,63936,63936,14,9556,2027,
1.5,1,2,1298,3,543,207,175,19,9249,2,12,3.9,7,12,14924,6,1,94939,94939,24,13854,2889,
1.25,1,2,1010,3,519,205,128,11,8719,2,9,3.3,5,11,10368,5,1,72673,72673,22,12061,2384,
1.25,1,2,1077,3,497,209,123,14,8331,1,9,2.5,4,11,11248,6,4,80079,80079,16,11782,2613,
1.75,2,1,1280,3,744,221,153,17,10014,3,14,4.7,7,10,17212,4,1,106106,106106,26,16892,3642,
2.5,1,1,2733,2,1110,303,205,29,18127,3,18,3.9,4,11,21262,3,2,142393,142393,29,24698,4710,
1,2,1,870,1,375,140,107,12,5756,3,7,1.8,4,9,9244,5,3,65910,65910,11,9862,1902,
2.5,1,1,2815,1,1038,442,214,30,16738,1,19,6.5,5,9,20900,6,2,154448,154448,41,23228,4879,
1.5,2,1,1308,3,608,256,142,15,8931,3,11,4.2,5,9,13549,6,1,88465,88465,21,14373,2999,
1,2,1,935,1,406,133,104,9,6462,3,8,1.7,5,12,9234,4,3,60933,60933,16,9642,2117,
1,2,2,929,1,392,138,78,8,7067,3,8,1.9,6,9,8547,2,2,59251,59251,18,9784,1978,
0.5,2,2,433,3,185,78,54,5,2975,2,4,0.8,6,9,4448,6,4,32873,32873,6,4896,1001,
3,2,1,2831,2,1234,532,291,36,18792,1,22,5.8,5,12,29145,4,4,171148,171148,39,27715,6095,
0.75,1,2,850,1,273,102,71,8,4548,3,6,1.2,7,12,6571,6,4,46291,46291,9,7188,1423,
1.5,2,2,1192,2,567,229,136,12,9126,3,12,2.7,4,12,14759,4,3,91740,91740,25,14448,2942,
0.5,1,2,581,3,222,82,46,5,3336,3,4,1,5,11,4273,5,1,29043,29043,6,4863,1017,
0.75,2,2,747,2,293,118,76,7,5281,3,5,1.2,7,12,6734,3,3,43163,43163,13,7064,1631,
0.5,2,1,491,2,183,80,55,4,3000,1,4,0.7,7,11,4966,6,3,32655,32655,6,4898,994,
3,1,1,2161,2,1176,480,275,38,17961,3,23,5.6,4,11,26712,4,4,194784,194784,35,29089,6552,
3,2,2,3111,2,1342,539,296,29,19867,3,24,4,7,12,25799,6,2,194897,194897,43,28933,6459,
0.5,2,2,419,1,186,73,51,5,3034,3,4,1,4,9,4270,5,3,32077,32077,6,4700,1036,
2.5,1,2,2471,3,926,332,256,25,15413,2,20,5,5,11,20991,2,3,141601,141601,38,23334,5219,
2.5,2,2,1767,2,1119,341,261,26,17847,1,19,4.2,7,12,22990,3,4,144285,144285,31,24576,5008,
2,2,1,1794,3,761,350,179,22,14170,3,14,3.6,6,12,18024,5,4,112674,112674,33,19560,4047,
1.5,2,1,1385,1,624,236,133,14,10171,1,11,2.4,7,10,12728,3,4,93714,93714,21,13862,2834,
0.5,1,2,533,3,202,90,45,4,3328,2,4,1.1,5,11,4220,3,1,29021,29021,9,4684,1059,
3,1,1,2257,1,1098,462,328,29,18776,2,24,4.5,5,11,28534,5,3,185086,185086,52,28075,6350,
0.75,1,1,548,3,279,111,72,7,4444,2,6,1.6,4,9,6008,3,2,44975,44975,9,7370,1485,
3,1,2,2942,3,1113,495,301,36,21759,2,22,4.7,4,9,24417,4,4,192738,192738,52,29469,5645,
2.5,2,2,2685,2,1070,388,299,27,18196,2,20,5.3,4,11,21471,3,4,162626,162626,42,24332,4964,
0.75,2,1,851,3,327,98,89,9,4613,2,6,1.8,6,9,6780,2,2,45888,45888,9,7105,1550,
2,2,2,2193,2,854,292,230,26,12370,1,14,2.7,5,10,19985,2,2,116077,116077,35,19412,4360,
2.5,1,2,2479,1,1001,389,281,21,17729,1,18,5.6,5,9,23580,6,2,160119,160119,37,24356,5130,
2,2,2,2126,3,893,336,240,24,12852,3,15,2.6,5,10,19421,3,4,129491,129491,31,19547,3840,
2.5,2,2,2251,3,999,410,236,21,15873,1,19,6,7,10,24539,6,1,160676,160676,30,24595,5296,
1.75,2,2,1965,1,670,236,151,16,12220,1,13,2.8,5,12,15676,2,4,107097,107097,23,16458,3662,
3,1,1,2782,2,1117,470,347,37,19125,2,22,6.1,4,11,27599,5,3,185556,185556,34,28500,6115,
0.75,1,1,844,3,278,114,58,9,4566,1,5,1.8,7,10,6512,4,1,44550,44550,13,7141,1561,
1.25,1,2,1325,3,550,191,97,14,7117,2,10,2.4,5,12,10174,6,1,72487,72487,18,11892,2506,
1.5,1,2,1702,2,649,194,186,19,9725,3,11,4,4,10,14592,6,3,92023,92023,25,13803,3169,
2.5,2,2,1778,2,1094,396,214,25,15749,3,18,4.5,6,9,24837,4,4,156553,156553,40,24103,5399,
1.75,1,2,1485,2,746,288,134,16,12054,1,14,4,5,9,16055,4,2,110073,110073,28,17173,3345,
2,1,1,1523,2,806,327,207,17,11825,3,15,4.4,4,10,19662,5,2,113969,113969,23,19436,3951,
3,2,2,2664,2,1232,374,258,39,17867,2,24,6.9,5,11,27561,3,4,176260,176260,49,28044,6095,
0.5,2,2,368,3,197,85,58,5,2882,1,4,0.8,6,12,4163,4,1,30172,30172,8,4913,989,
1,1,1,1121,2,372,169,104,9,7188,3,7,1.8,6,9,8372,3,1,64034,64034,16,9300,2024,
1.5,2,2,1623,1,594,217,173,18,9396,3,11,3.9,5,11,14711,6,2,90041,90041,24,13909,3201,
0.75,1,2,594,1,312,108,94,7,4496,3,6,1.8,7,11,6303,3,4,46309,46309,13,7169,1582,
2.5,1,2,2332,1,1112,331,313,29,15289,1,18,3.6,6,9,20116,5,1,152492,152492,34,24347,5476,
2.5,2,1,2283,3,1108,402,291,27,14763,3,19,4.5,5,12,23342,6,4,155306,155306,42,23978,5057,
2.5,1,1,2193,2,925,388,287,28,16021,3,18,4.9,5,10,23596,2,3,163749,163749,40,23939,5272,
1.5,1,2,1788,2,637,242,152,12,10783,2,11,2.1,4,10,14032,4,4,98478,98478,20,14481,3272,
2,1,2,1885,1,886,276,180,21,11462,2,15,3.7,4,9,17043,3,2,115437,115437,28,19273,4011,
0.5,1,1,434,2,221,82,40,6,3342,2,4,0.9,5,10,4868,5,3,30374,30374,7,4866,990,
0.5,2,2,369,1,199,71,47,5,3014,1,4,0.8,4,10,4525,5,4,31535,31535,6,4775,948,
1.75,1,2,1926,1,683,255,208,19,11255,3,13,4.3,4,9,17025,5,2,102403,102403,23,16123,3811,
1.25,1,2,973,3,479,174,154,11,9086,2,10,2.9,7,10,11477,4,3,72063,72063,20,12171,2464,
3,2,1,2291,2,1217,451,373,31,20761,2,24,4,4,10,29635,4,3,184127,184127,40,28848,6265,
3,1,2,2738,1,1260,521,337,36,20820,3,22,5.6,4,12,29211,2,4,189908,189908,45,28026,6385,
1.25,1,2,1348,1,552,195,98,14,8531,3,9,3.4,7,9,11766,4,3,73750,73750,17,12098,2352,
1,2,2,714,2,354,135,87,11,6549,3,7,2.8,6,11,9151,6,1,63296,63296,15,9658,1890,
3,2,2,3422,3,1099,483,238,37,19705,1,24,6,4,9,29182,2,2,168752,168752,38,29396,6436,
2,1,1,2388,2,747,349,229,25,14188,2,15,3.8,7,12,19131,3,3,124059,124059,25,19267,4199,
1.25,1,1,1051,1,539,159,97,11,7043,2,10,2.2,5,12,11262,5,1,76652,76652,21,11675,2691,
1.5,1,2,1436,3,651,199,129,19,9585,1,11,2.3,7,12,12712,4,1,90759,90759,26,14428,2996,
1,2,2,777,3,383,135,116,10,6364,1,7,2.9,7,12,9747,5,3,59766,59766,11,9469,2195,
1,1,1,1169,1,384,162,99,10,5777,3,8,2.3,4,11,9417,3,1,59424,59424,16,9742,2028,
2,2,1,1746,3,781,294,155,21,12126,3,16,5.2,5,11,19848,4,1,120012,120012,27,19641,4317,
1.5,2,1,1607,2,558,214,165,18,9179,1,11,2.4,7,11,14212,6,3,98701,98701,17,14755,3169,
0.75,1,1,731,2,292,112,73,9,4388,1,6,1.8,4,9,6683,3,1,45757,45757,12,7176,1633,
0.5,1,2,443,3,184,77,45,5,2831,2,4,0.7,5,10,4859,2,2,31144,31144,8,4894,1003,
3,1,2,2640,2,1293,529,311,28,19806,1,22,5.2,7,11,28404,5,4,181490,181490,47,28540,5991,
2,1,1,1718,1,709,312,169,19,11331,1,15,4.6,7,9,19979,3,1,130320,130320,31,19361,3953,
3,1,1,3427,2,1203,435,262,24,20727,3,23,6.1,5,10,25121,4,1,180319,180319,39,28828,5941,
1.5,1,2,1735,2,608,241,114,17,9251,3,11,4,7,11,14288,5,1,91271,91271,19,14573,2936,
3,2,1,2425,1,1246,484,373,28,21488,2,22,8.2,6,11,27116,4,4,191354,191354,40,27882,5810,
0.75,1,2,648,1,305,106,63,7,4223,3,6,2.2,6,10,7237,3,1,43344,43344,12,7292,1543,
2,1,1,1505,1,804,358,176,16,13558,3,15,4.5,5,11,17416,2,2,122815,122815,32,19235,4264,
3,1,2,2819,3,1157,512,323,28,19456,3,24,8.4,5,12,26978,5,4,174645,174645,41,29160,6598,
0.5,2,2,374,3,215,84,48,6,3129,1,4,0.7,4,9,4202,4,4,30916,30916,6,4828,962,
3,2,2,2982,2,1051,513,332,38,21574,2,23,4.8,5,9,29725,6,3,182444,182444,40,28784,6007,
2.5,2,2,2260,2,890,373,251,27,16167,3,20,3.7,4,11,20133,6,4,141835,141835,35,23765,5301,
2.5,1,1,2480,2,1009,420,209,30,17913,3,18,4.4,7,10,20174,2,3,161858,161858,45,23258,5218,
1.25,1,1,1034,1,438,170,128,14,9016,3,10,3.3,6,12,11518,3,3,74674,74674,19,11719,2575,
1.75,1,2,1695,3,641,212,211,21,10320,3,13,4.6,4,11,14989,4,2,113265,113265,23,17275,3398,
1,2,1,1181,1,356,146,94,11,6091,3,7,2,6,9,9444,5,4,56597,56597,15,9306,1894,
1.75,2,2,1743,3,632,281,171,18,11870,2,13,5,4,12,17346,4,1,102496,102496,25,16141,3489,
0.75,1,2,604,1,299,103,70,7,4510,1,5,1.9,5,11,6955,5,4,43721,43721,8,7101,1596,
2,2,1,2035,2,829,322,211,17,13210,1,15,5.4,7,10,19905,5,3,127468,127468,32,19723,4184,
1,1,2,1195,3,409,136,92,10,6728,2,8,1.7,5,10,8573,6,4,59720,59720,16,9542,2168,
2,2,2,1947,1,858,300,243,16,12321,3,16,3.5,4,11,18780,3,3,124242,124242,27,19221,3821,
0.75,1,2,894,3,305,110,73,8,5289,1,6,1.4,4,10,6809,3,2,47178,47178,12,6986,1518,
1.75,2,1,1336,3,614,295,152,18,12710,2,13,5.1,7,12,16553,3,2,104466,104466,23,16657,3691,
2.5,2,2,2250,2,1069,314,204,23,17831,1,20,6.2,7,12,23592,6,3,147582,147582,40,23308,5480,
1.75,2,2,1504,1,649,306,184,15,12610,3,14,2.9,4,11,17390,2,1,105553,105553,30,16197,3613,
1.75,2,2,1637,2,775,303,212,19,11315,3,13,2.8,7,9,16513,6,1,105085,105085,24,16563,3564,
1.75,2,2,2013,3,766,313,157,22,11213,1,12,3.7,4,11,14675,2,2,101241,101241,24,16732,3643,
0.75,2,2,882,2,291,129,65,7,4530,1,5,1.4,5,12,6323,5,3,46354,46354,9,7251,1574,
1.5,2,2,1517,1,601,217,169,13,8588,2,11,3.2,7,12,14985,6,1,91874,91874,20,14016,3173,
2,2,1,2161,1,838,305,226,23,12980,3,15,3.8,5,9,17099,2,4,114889,114889,34,19234,4161,
0.75,1,2,857,1,333,110,72,7,4577,2,6,1.3,4,12,6259,3,1,45405,45405,12,7289,1606,
1.75,2,1,2070,2,767,216,145,14,10572,1,13,4.5,6,11,15182,2,1,108857,108857,25,17217,3529,
1.75,1,2,1822,2,786,293,135,17,12247,3,13,3.8,5,12,16383,2,2,108298,108298,24,17023,3535,
1.75,2,2,1347,3,761,302,136,21,9999,2,13,3.5,5,9,14088,4,4,98405,98405,22,17118,3727,
2,1,2,1976,1,889,311,162,20,13791,3,15,5.5,4,11,19286,4,4,121924,121924,29,19702,4344,
1.5,2,2,1174,3,604,186,153,14,10112,1,12,4.1,6,9,12521,2,1,89356,89356,19,13856,2924,
1,2,1,1015,1,377,154,123,9,7167,2,7,1.4,6,12,8570,3,3,59468,59468,15,9338,2085,
2.5,1,2,2307,3,957,344,197,25,16573,1,20,4.9,4,9,21895,5,2,140537,140537,43,24564,5105,
1.75,2,1,1303,3,710,226,136,15,10617,3,14,2.6,5,9,15302,3,1,112725,112725,21,16331,3558,
2,2,1,1994,1,772,307,162,16,12018,1,15,3.2,5,9,18761,3,4,113111,113111,33,18652,4225,
0.75,1,2,779,3,284,97,62,7,4500,2,6,1.1,5,9,6478,3,1,46835,46835,10,6948,1602,
1.25,1,1,1181,3,451,180,139,14,7665,1,9,2.4,4,11,10753,4,3,81239,81239,16,11685,2539,
2,1,2,2367,1,846,241,199,18,13385,1,15,3,7,12,18481,5,4,118456,118456,28,18932,4014,
0.5,2,2,469,2,217,72,57,6,3585,3,4,0.9,6,12,4571,4,2,31033,31033,6,4883,1010,
3,2,1,2603,1,1193,439,366,26,18732,3,23,6.1,6,11,26988,5,4,172386,172386,36,27924,6257,
0.75,2,2,851,2,266,111,61,8,5113,2,6,1.6,7,11,6794,5,1,44163,44163,9,6975,1528,
3,2,2,2527,1,1110,392,353,28,18747,2,23,6.9,7,10,26742,3,3,189431,189431,42,28353,6107,
0.5,2,1,557,1,203,63,46,5,3438,2,4,1.4,5,12,4475,2,4,30451,30451,8,4777,1045,
1,2,1,755,2,368,163,98,8,6534,3,7,1.5,5,9,8298,5,3,56994,56994,17,9769,2139,
2.5,1,1,2875,3,928,349,249,32,15875,2,18,4.2,5,9,23178,6,1,150695,150695,41,24549,5411,
2,1,2,2277,2,755,347,243,21,11823,3,15,3.5,5,9,18929,6,2,112186,112186,32,18818,4236,
0.5,2,1,441,1,225,84,45,5,3202,3,4,1.1,6,11,4977,4,2,31785,31785,6,4917,987,
0.5,2,2,439,1,222,80,49,5,3390,1,4,1.3,6,11,4666,5,4,32499,32499,6,4824,1001,
2,1,2,1835,3,767,261,233,26,12034,3,15,4.5,7,11,19834,3,4,126687,126687,35,18553,4255,
1.5,2,1,1412,1,626,181,161,18,9302,1,11,3.7,6,10,14913,6,4,92840,92840,18,14166,2970,
3,2,1,2938,2,1259,415,306,34,21240,1,23,5,4,12,26048,6,1,189195,189195,47,28995,5799,
2,1,2,1586,1,737,263,173,19,13323,1,15,4.6,5,12,18503,4,3,115329,115329,31,19683,4318,
0.5,2,1,573,1,193,62,45,5,3106,2,4,1,5,12,4044,6,2,31824,31824,6,4684,1048,
0.5,2,2,473,3,217,60,49,5,3649,2,4,0.9,5,10,4279,6,3,30667,30667,7,4705,999,
1.5,1,1,1405,1,569,200,188,15,9727,2,11,2.4,7,9,14314,5,4,94289,94289,21,14088,3026,
3,2,1,2369,1,1084,377,375,38,19061,2,23,7.4,6,10,26810,3,2,182626,182626,46,27827,6466,
1.75,1,1,1516,3,786,276,135,22,10967,1,14,3.5,5,11,15029,2,4,98310,98310,26,16107,3493,
0.5,2,1,534,1,225,69,62,5,3343,1,4,1.4,6,12,4985,6,4,31774,31774,8,4911,1072,
0.75,1,2,869,3,324,126,94,7,5068,1,6,1.3,6,9,6339,3,1,42067,42067,11,7284,1513,
0.75,1,2,591,2,335,121,84,9,5325,1,6,2.2,4,10,6282,5,2,45271,45271,10,6994,1545,
0.75,2,1,537,2,294,119,61,8,4284,2,6,1.8,5,11,6125,2,3,45798,45798,10,6926,1581,
3,1,1,2538,1,1287,503,232,38,18754,1,22,6.6,4,12,27279,6,4,187114,187114,44,28675,6455,
